Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
H-Score,0.25,DAL,73.44,48.88,27.74,33.33,52.37,55.88,74.76,52.38,50.00,49.19,77.09,14.83,50.82
H-Score,0.25,GeoID,98.07,77.97,57.65,42.04,67.82,75.23,83.68,70.87,55.47,51.79,74.63,18.00,64.43
H-Score,0.25,SDC,68.73,64.10,33.36,40.66,38.87,66.59,63.38,59.21,55.95,36.77,63.90,27.38,51.57
H-Score,0.25,DPN,83.25,60.57,25.55,40.71,35.27,15.09,55.66,44.19,55.47,37.12,74.12,18.07,45.42
H-Score,0.25,TAN,87.76,66.33,30.40,45.12,40.18,23.32,60.87,47.99,58.41,40.13,73.40,18.04,49.33
H-Score,0.25,LOOP,90.16,76.45,57.24,40.51,70.22,79.04,87.86,73.91,66.85,45.94,73.76,18.61,65.05
H-Score,0.25,ALUP,95.14,84.49,63.49,43.55,70.31,81.47,87.06,73.63,68.62,61.83,79.22,18.45,68.94
H-Score,0.5,DAL,91.34,55.27,33.46,40.47,57.01,70.57,78.38,59.73,51.47,57.19,77.33,10.74,56.91
H-Score,0.5,GeoID,99.47,77.52,57.04,46.71,72.58,78.78,86.59,75.96,58.80,51.42,77.10,17.23,66.60
H-Score,0.5,SDC,88.06,79.93,52.72,54.84,53.15,76.34,67.85,68.65,67.25,57.69,66.57,15.38,62.37
H-Score,0.5,DPN,87.90,47.29,25.48,36.65,46.03,23.31,66.31,42.22,58.02,33.73,75.18,16.31,46.54
H-Score,0.5,TAN,98.50,72.11,40.22,57.12,50.40,40.44,67.55,48.98,65.80,44.92,79.21,20.69,57.16
H-Score,0.5,LOOP,89.98,78.80,58.49,42.82,71.75,82.80,87.66,76.72,64.25,45.96,77.06,13.85,65.84
H-Score,0.5,ALUP,97.65,85.84,61.37,50.35,72.45,81.56,87.51,75.00,68.48,69.18,80.24,14.35,70.33
H-Score,0.75,DAL,89.83,61.91,30.58,42.72,58.12,66.47,78.91,64.76,53.72,60.71,76.75,14.04,58.21
H-Score,0.75,GeoID,97.10,79.04,59.42,50.95,74.13,80.15,84.54,76.26,61.21,44.78,77.49,17.84,66.91
H-Score,0.75,SDC,94.56,85.87,59.75,67.49,68.75,83.25,70.72,78.73,76.42,61.85,74.72,23.37,70.46
H-Score,0.75,DPN,95.99,48.05,32.32,43.05,48.57,40.25,70.44,49.57,57.94,36.95,75.04,22.61,51.73
H-Score,0.75,TAN,99.84,76.77,50.50,72.74,52.35,45.60,69.04,47.81,68.28,38.22,77.99,22.58,60.14
H-Score,0.75,LOOP,88.59,76.90,57.35,48.11,73.67,81.80,88.45,74.54,64.26,63.49,76.77,17.75,67.64
H-Score,0.75,ALUP,98.94,85.36,56.88,56.55,73.52,83.18,87.57,75.99,71.95,68.00,79.54,19.68,71.43
