Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
NMI,0.25,DAL,85.70,50.92,15.31,60.13,72.95,54.91,89.93,72.80,70.57,64.78,92.78,29.92,63.39
NMI,0.25,GeoID,99.71,76.31,40.48,64.02,82.87,73.90,92.61,82.77,76.34,66.45,92.45,35.91,73.65
NMI,0.25,SDC,77.36,64.61,32.59,63.63,70.50,67.63,84.97,77.73,72.92,53.42,88.21,36.60,65.85
NMI,0.25,DPN,90.49,60.21,17.00,62.78,66.55,27.62,82.56,61.17,68.60,46.71,91.53,28.53,58.65
NMI,0.25,TAN,94.30,68.20,22.56,63.57,68.80,33.30,84.23,63.97,74.20,50.08,92.47,30.39,62.17
NMI,0.25,LOOP,95.09,74.45,42.99,67.82,84.01,77.18,94.69,85.61,80.08,69.08,92.56,36.70,75.02
NMI,0.25,ALUP,98.09,77.73,41.88,67.97,83.02,74.61,93.77,84.14,80.98,68.36,93.35,37.13,75.09
NMI,0.5,DAL,98.25,64.49,30.48,68.89,79.45,67.89,92.56,81.48,76.10,79.05,93.46,31.44,71.96
NMI,0.5,GeoID,100.00,79.04,45.96,72.29,86.64,77.50,95.06,87.04,79.50,76.76,93.77,38.73,77.69
NMI,0.5,SDC,92.78,76.86,40.54,75.66,80.19,75.14,88.63,83.63,81.42,71.57,89.74,36.36,74.38
NMI,0.5,DPN,96.81,71.28,30.93,70.61,77.59,49.65,88.68,74.26,77.27,61.39,93.42,32.03,68.66
NMI,0.5,TAN,98.25,76.46,32.47,72.23,78.00,54.56,89.76,74.92,78.20,61.67,93.58,32.63,70.23
NMI,0.5,LOOP,96.48,75.05,44.41,72.37,87.25,79.64,95.93,88.35,83.03,77.00,93.75,37.73,77.58
NMI,0.5,ALUP,99.02,79.98,43.88,74.12,86.70,77.96,95.39,87.10,83.37,76.83,94.15,37.48,78.00
NMI,0.75,DAL,98.82,76.68,40.97,70.91,83.53,74.46,94.93,84.62,80.34,82.45,94.19,35.64,76.46
NMI,0.75,GeoID,99.71,85.48,48.29,76.85,89.19,80.69,96.12,89.56,84.08,84.52,94.89,41.31,80.89
NMI,0.75,SDC,98.10,83.92,47.75,83.02,87.40,79.65,93.19,88.63,85.97,79.30,92.37,42.22,80.13
NMI,0.75,DPN,99.58,78.79,44.36,80.49,84.99,67.77,94.25,83.49,83.64,74.15,94.74,40.25,77.21
NMI,0.75,TAN,99.38,81.30,43.99,79.10,85.23,72.79,94.18,84.04,83.36,75.15,95.07,38.92,77.71
NMI,0.75,LOOP,98.41,83.62,47.85,77.24,90.13,81.67,97.02,89.90,85.08,82.30,94.61,38.47,80.52
NMI,0.75,ALUP,99.18,85.14,48.33,80.56,90.15,81.46,97.08,89.49,86.54,81.02,94.97,39.71,81.14
