Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.25,DAL,69.80,46.59,26.59,34.49,54.92,54.62,74.08,56.36,54.28,52.06,78.03,14.51,51.36
ACC,0.25,GeoID,99.97,77.16,59.78,42.53,72.24,79.98,85.51,73.08,63.25,66.65,77.45,21.49,68.26
ACC,0.25,SDC,67.95,74.29,48.17,49.88,42.96,75.86,61.93,61.10,69.28,52.38,63.30,34.70,58.48
ACC,0.25,DPN,78.43,53.81,26.36,41.55,38.19,26.68,53.39,35.56,56.07,38.43,73.12,19.98,45.13
ACC,0.25,TAN,91.60,67.79,36.70,44.42,46.44,34.02,62.10,43.42,59.39,43.20,77.46,33.59,53.34
ACC,0.25,LOOP,87.42,72.01,57.26,41.51,71.33,82.17,87.66,75.91,65.75,70.51,78.15,20.81,67.54
ACC,0.25,ALUP,98.39,76.64,56.79,46.37,73.25,82.37,86.66,75.04,72.53,67.25,81.32,22.48,69.92
ACC,0.5,DAL,90.33,60.92,41.03,43.30,63.72,71.59,81.71,68.64,57.74,66.99,80.10,15.00,61.76
ACC,0.5,GeoID,100.00,84.94,61.20,55.02,77.84,85.38,90.84,79.98,67.20,75.89,82.51,24.01,73.73
ACC,0.5,SDC,86.48,85.61,59.53,68.45,65.60,84.99,69.14,76.61,79.27,69.97,69.84,37.46,71.08
ACC,0.5,DPN,90.35,68.35,46.85,58.74,55.91,51.09,72.34,58.04,72.12,56.62,79.61,28.36,61.53
ACC,0.5,TAN,98.24,75.64,47.79,52.95,63.37,61.10,75.12,60.21,71.91,60.12,83.67,28.20,64.86
ACC,0.5,LOOP,93.38,82.80,62.08,53.55,80.40,86.52,90.10,82.68,74.93,73.29,82.90,20.40,73.59
ACC,0.5,ALUP,99.85,82.52,61.08,57.47,80.68,84.41,91.27,81.30,76.36,76.56,83.90,24.84,75.02
ACC,0.75,DAL,91.16,76.46,60.21,46.53,72.13,72.89,86.99,74.03,66.16,78.77,81.04,19.67,68.84
ACC,0.75,GeoID,100.00,89.03,66.22,62.53,84.73,87.83,93.40,84.65,76.18,84.29,87.22,28.72,78.73
ACC,0.75,SDC,94.74,92.10,69.17,83.84,80.93,88.81,82.27,85.76,84.66,83.75,81.23,48.86,81.34
ACC,0.75,DPN,95.71,76.35,61.22,76.74,76.88,73.38,84.71,74.53,80.34,73.84,87.04,40.17,75.08
ACC,0.75,TAN,98.92,81.80,61.73,75.10,78.65,80.51,85.46,75.72,80.94,74.93,88.17,31.94,76.16
ACC,0.75,LOOP,97.27,87.21,64.39,63.76,86.01,88.56,93.91,86.24,80.76,82.90,85.45,28.01,78.71
ACC,0.75,ALUP,99.22,87.08,66.42,66.94,87.42,88.73,94.04,86.11,83.88,82.78,87.70,26.53,79.74
