Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
N-ACC,0.25,DAL,70.21,37.92,19.37,30.88,48.09,48.21,71.89,47.72,46.98,50.43,76.32,17.99,47.17
N-ACC,0.25,GeoID,99.05,72.36,52.83,36.89,63.98,75.75,76.78,65.22,55.66,56.05,73.56,19.94,62.34
N-ACC,0.25,SDC,69.80,62.22,41.87,46.80,41.85,72.90,58.74,60.09,59.67,41.04,63.36,26.64,53.75
N-ACC,0.25,DPN,75.27,43.02,19.35,28.00,24.63,4.92,42.78,24.08,45.52,23.58,66.60,25.96,35.31
N-ACC,0.25,TAN,86.13,57.64,24.99,33.09,35.03,19.82,53.39,29.27,55.69,29.66,73.98,23.47,43.51
N-ACC,0.25,LOOP,87.77,67.01,52.95,38.15,65.86,77.51,83.71,70.64,61.28,59.28,74.73,19.98,63.24
N-ACC,0.25,ALUP,96.25,71.42,53.21,37.65,65.31,77.01,81.24,68.94,66.97,59.20,77.79,20.25,64.60
N-ACC,0.5,DAL,92.73,46.22,29.74,38.83,53.55,60.42,73.73,59.42,53.18,56.36,77.16,10.18,54.29
N-ACC,0.5,GeoID,100.00,69.83,58.89,42.67,65.92,74.92,81.56,72.71,54.61,67.01,74.62,14.74,64.79
N-ACC,0.5,SDC,88.55,83.26,60.66,61.26,60.51,84.51,67.93,73.78,76.99,66.86,71.45,15.75,67.63
N-ACC,0.5,DPN,84.93,44.20,23.58,30.20,28.00,12.22,44.83,27.91,51.64,18.70,70.38,13.14,37.48
N-ACC,0.5,TAN,94.67,60.88,28.56,33.72,37.26,32.29,53.80,33.13,51.46,29.56,73.35,15.10,45.31
N-ACC,0.5,LOOP,83.12,57.30,55.26,42.69,66.11,77.10,85.57,72.55,65.42,64.25,75.78,14.58,63.31
N-ACC,0.5,ALUP,96.76,68.87,52.13,46.11,65.83,80.14,81.68,71.68,67.06,61.93,76.83,13.45,65.21
N-ACC,0.75,DAL,94.74,52.14,37.85,45.39,52.89,59.27,74.74,62.07,61.09,56.43,77.19,17.99,57.65
N-ACC,0.75,GeoID,98.60,79.21,49.21,52.63,58.45,71.58,75.93,70.78,60.65,73.76,73.83,19.89,65.38
N-ACC,0.75,SDC,94.53,91.18,70.40,64.57,76.60,88.55,79.33,85.26,85.40,75.53,77.78,17.74,75.57
N-ACC,0.75,DPN,94.40,37.65,31.45,32.85,32.87,25.65,55.51,33.11,44.06,24.48,67.95,16.52,41.37
N-ACC,0.75,TAN,95.20,55.93,36.78,42.63,39.08,54.91,55.86,38.80,48.86,36.83,72.82,17.80,49.63
N-ACC,0.75,LOOP,92.50,73.20,47.40,55.59,63.48,78.82,82.74,72.97,62.78,64.43,75.58,18.03,65.63
N-ACC,0.75,ALUP,94.42,79.15,53.05,51.55,67.76,81.16,85.16,70.31,64.74,52.83,77.23,19.91,66.44
