Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-ACC,0.25,DAL,86.64,76.05,57.55,49.65,71.08,61.07,84.18,73.45,62.51,63.35,79.65,22.51,65.64
K-ACC,0.25,GeoID,100.0,95.74,72.63,77.77,92.5,90.73,96.35,87.68,77.4,83.94,87.0,29.24,82.58
K-ACC,0.25,SDC,68.47,79.69,48.3,52.74,43.13,74.25,64.6,62.26,69.74,65.61,65.97,30.94,60.47
K-ACC,0.25,DPN,95.3,96.07,64.55,76.48,83.74,93.26,85.09,81.54,89.04,81.01,87.45,35.48,80.75
K-ACC,0.25,TAN,98.24,95.12,69.39,82.35,89.37,88.57,95.33,84.01,86.65,89.56,87.95,29.16,82.98
K-ACC,0.25,LOOP,98.0,96.22,76.5,75.2,91.16,91.2,97.75,91.65,77.39,85.88,87.24,27.47,82.97
K-ACC,0.25,ALUP,98.16,92.38,68.6,79.56,90.66,90.8,95.79,89.58,79.8,86.9,88.2,36.56,83.08
K-ACC,0.5,DAL,92.18,82.99,55.42,54.96,72.89,78.09,91.02,77.26,63.01,83.0,81.35,23.05,71.27
K-ACC,0.5,GeoID,100.0,95.92,70.06,75.05,91.13,89.99,97.65,88.83,79.01,92.52,90.47,33.11,83.64
K-ACC,0.5,SDC,82.66,84.51,56.92,70.59,67.21,83.41,70.33,75.51,77.16,77.11,69.19,51.54,72.18
K-ACC,0.5,DPN,96.22,93.67,62.08,88.08,87.74,90.68,93.67,86.67,89.04,87.71,89.85,36.97,83.53
K-ACC,0.5,TAN,100.0,95.73,63.11,84.68,87.75,89.1,95.15,87.07,90.3,89.85,91.61,36.48,84.24
K-ACC,0.5,LOOP,98.46,95.24,73.28,74.31,92.58,90.01,97.32,90.13,87.41,86.72,89.5,30.48,83.79
K-ACC,0.5,ALUP,99.92,94.95,70.58,80.72,92.25,92.2,97.87,88.85,89.72,87.9,89.21,34.67,84.9
K-ACC,0.75,DAL,93.84,89.22,66.68,49.7,78.92,78.45,92.7,79.13,70.44,87.42,82.04,22.34,74.24
K-ACC,0.75,GeoID,100.0,95.55,68.79,70.75,91.35,91.39,96.62,89.51,86.21,91.66,91.65,33.62,83.92
K-ACC,0.75,SDC,94.54,93.11,68.52,82.22,81.42,88.64,82.93,84.86,83.06,85.27,80.01,60.81,82.12
K-ACC,0.75,DPN,97.6,93.82,68.74,90.23,91.47,90.28,95.01,88.66,94.31,88.54,91.84,43.26,86.15
K-ACC,0.75,TAN,100.0,94.7,68.55,87.24,91.49,89.64,96.07,88.41,92.89,89.28,92.86,40.12,85.94
K-ACC,0.75,LOOP,97.87,94.63,70.05,70.99,92.91,91.88,96.94,90.14,87.51,89.37,88.57,33.96,83.74
K-ACC,0.75,ALUP,99.04,95.28,72.22,75.51,93.4,92.08,97.21,90.31,91.34,90.65,90.76,32.99,85.07
