Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ACC,0.25,DOC,90.43,71.63,59.21,78.98,79.74,70.78,88.10,73.04,77.09,72.63,82.73,76.76
ACC,0.25,DeepUNK,93.14,52.91,66.20,56.24,83.31,82.77,88.22,85.97,77.17,82.66,54.34,74.81
ACC,0.25,ADB,68.65,78.15,49.49,56.86,76.45,84.92,87.06,72.69,69.75,49.13,79.52,70.24
ACC,0.25,SCL,85.20,59.27,57.08,79.51,71.55,76.57,74.36,71.70,12.94,77.72,62.53,66.22
ACC,0.25,AB,69.72,42.76,62.36,59.28,72.72,75.54,81.82,81.50,62.66,76.18,70.70,68.66
ACC,0.25,KNNCon,84.02,45.05,34.85,51.70,60.18,59.60,79.56,59.58,56.39,49.48,62.57,58.45
ACC,0.25,DyEn,95.13,64.93,28.84,62.83,65.63,52.53,81.83,57.41,65.17,65.06,66.64,64.18
ACC,0.25,LLM-MaxSoftmax,43.36,39.07,26.99,49.42,41.74,39.48,49.97,43.93,52.42,39.88,58.28,44.05
ACC,0.25,LLM-OpenMax,82.20,58.63,30.04,74.83,82.77,56.04,88.59,81.47,61.19,53.47,78.33,67.96
ACC,0.25,LLM-TempScale,43.35,39.07,27.15,48.54,41.12,40.40,49.97,43.91,49.56,38.73,58.25,43.64
ACC,0.25,LLM-EnergyBased,92.14,86.09,73.21,81.84,85.78,89.85,92.60,88.35,85.06,73.60,88.63,85.20
ACC,0.25,LLM-LogitNorm,41.76,37.65,33.81,60.58,71.16,43.18,87.40,69.34,52.88,39.82,86.91,56.77
ACC,0.25,LLM-Entropy,46.50,42.03,34.02,51.12,39.90,42.28,47.49,44.01,57.14,47.37,55.66,46.14
ACC,0.25,LLM-KLMatching,35.83,34.29,25.33,43.10,34.40,32.00,42.64,37.89,41.53,36.01,47.60,37.33
ACC,0.25,LLM-MaxLogit,91.33,86.11,72.66,80.03,85.39,90.36,92.16,88.31,84.96,73.23,88.60,84.83
