Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
N-F1,0.25,DOC,94.02,81.51,70.17,84.29,86.66,78.54,92.07,80.71,86.43,80.20,89.10,83.97
N-F1,0.25,DeepUNK,95.68,67.52,76.38,64.38,89.36,89.29,92.83,91.20,86.47,89.37,66.42,82.63
N-F1,0.25,ADB,73.34,82.65,55.79,59.46,82.93,89.54,90.90,79.11,76.61,53.84,84.76,75.36
N-F1,0.25,SCL,89.34,66.06,61.80,83.43,82.00,84.57,82.11,81.38,8.68,86.05,69.84,72.30
N-F1,0.25,AB,78.72,54.78,73.12,14.72,81.22,83.46,87.58,88.62,73.06,83.92,79.34,72.59
N-F1,0.25,KNNCon,86.76,35.37,31.58,50.99,62.03,63.39,83.92,60.64,55.41,46.14,65.99,58.38
N-F1,0.25,DyEn,96.15,68.63,22.70,62.72,71.49,55.36,86.43,60.69,69.05,70.44,71.29,66.81
N-F1,0.25,LLM-MaxSoftmax,38.96,28.00,19.02,45.31,39.03,33.96,49.96,43.33,56.54,37.17,62.65,41.27
N-F1,0.25,LLM-OpenMax,83.31,59.20,25.23,73.42,89.29,53.46,92.85,87.96,67.50,60.64,86.97,70.89
N-F1,0.25,LLM-TempScale,38.94,28.00,19.36,43.13,38.02,35.45,49.96,43.30,53.30,34.95,62.61,40.64
N-F1,0.25,LLM-EnergyBased,94.50,90.32,82.24,84.65,90.82,93.55,95.09,92.59,90.36,81.51,92.51,89.83
N-F1,0.25,LLM-LogitNorm,33.46,24.96,30.62,64.73,77.54,36.05,90.95,75.43,56.90,36.05,90.96,56.15
N-F1,0.25,LLM-Entropy,43.77,33.87,32.36,48.39,35.67,38.40,46.11,43.12,61.42,49.15,59.32,44.69
N-F1,0.25,LLM-KLMatching,24.88,17.55,15.48,29.05,25.16,19.23,37.97,32.80,40.96,29.80,47.83,29.16
N-F1,0.25,LLM-MaxLogit,93.85,90.19,81.72,83.44,90.37,93.83,94.69,92.51,90.21,80.95,92.38,89.47
N-F1,0.5,DOC,83.28,71.70,68.52,74.14,76.75,74.55,83.36,76.94,66.33,74.57,69.60,74.52
N-F1,0.5,DeepUNK,90.17,39.30,67.66,67.12,77.85,77.38,82.74,80.36,51.21,74.71,57.32,69.62
N-F1,0.5,ADB,76.23,83.88,28.08,66.42,76.40,87.77,83.97,74.95,82.28,68.07,80.55,73.51
N-F1,0.5,SCL,88.83,50.58,54.98,73.20,57.09,56.15,73.54,57.40,2.97,74.90,54.48,58.56
N-F1,0.5,AB,63.58,48.64,55.76,0.00,68.74,71.26,75.96,77.42,56.44,68.52,65.04,59.21
N-F1,0.5,KNNCon,87.17,48.60,26.39,51.05,65.09,74.97,77.61,62.90,74.70,63.75,58.28,62.77
N-F1,0.5,DyEn,93.87,65.15,21.31,58.22,63.87,56.10,80.26,58.36,65.74,66.54,63.00,62.95
N-F1,0.5,LLM-MaxSoftmax,44.00,36.96,43.04,48.17,37.94,34.12,48.99,49.01,51.03,46.76,57.48,45.23
N-F1,0.5,LLM-OpenMax,89.94,75.50,19.85,75.53,75.46,82.10,82.78,79.24,76.74,62.79,70.76,71.88
N-F1,0.5,LLM-TempScale,44.00,37.47,41.57,46.93,37.50,34.12,49.62,47.67,50.41,44.91,57.49,44.70
N-F1,0.5,LLM-EnergyBased,93.86,83.49,72.79,78.13,81.61,88.40,89.23,82.62,78.43,77.46,83.54,82.69
N-F1,0.5,LLM-LogitNorm,65.67,42.44,24.66,76.59,80.41,58.49,90.10,80.56,72.93,59.55,87.73,67.19
