Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
N-F1,0.25,DOC,94.62,74.28,67.86,80.49,85.58,74.72,92.33,82.63,86.80,78.04,91.23,82.60
N-F1,0.25,DeepUNK,97.97,39.64,72.71,86.41,89.85,89.51,93.51,91.98,86.85,89.29,74.53,82.93
N-F1,0.25,ADB,73.88,82.42,61.55,74.29,83.77,90.36,91.91,82.39,86.49,67.72,87.20,80.18
N-F1,0.25,SCL,91.19,60.92,70.96,84.06,79.51,69.14,78.95,68.43,5.82,85.82,71.75,69.69
N-F1,0.25,AB,79.68,55.50,75.30,48.78,81.83,83.69,87.66,87.46,71.63,84.51,79.25,75.94
N-F1,0.25,KNNCon,89.65,59.71,31.13,59.80,67.29,64.66,85.76,64.15,55.56,46.22,72.56,63.32
N-F1,0.25,DyEn,98.27,68.01,19.53,48.99,72.27,56.98,89.28,74.71,79.13,68.28,71.87,67.94
N-F1,0.25,LLM-MaxSoftmax,35.04,21.80,23.40,39.80,37.50,28.33,48.57,38.29,52.27,36.37,56.22,37.96
N-F1,0.25,LLM-OpenMax,85.88,67.29,25.70,77.46,90.90,71.30,94.74,88.45,82.84,60.98,90.71,76.02
N-F1,0.25,LLM-TempScale,33.99,22.20,23.87,39.32,37.33,28.64,48.60,37.71,48.06,34.36,56.75,37.35
N-F1,0.25,LLM-Energy,93.16,89.45,84.95,88.18,91.54,94.73,96.16,91.98,92.56,86.68,94.63,91.27
N-F1,0.25,LLM-LogitNorm,37.02,14.36,43.05,66.98,73.93,21.51,90.22,69.97,45.00,31.33,92.26,53.24
N-F1,0.25,LLM-Entropy,39.34,27.30,38.74,42.30,30.70,30.99,43.64,36.81,56.24,45.66,53.13,40.44
N-F1,0.25,LLM-KLMatching,21.22,12.38,16.77,29.81,21.35,20.79,32.93,28.38,29.62,24.75,40.09,25.28
N-F1,0.25,LLM-MaxLogit,92.68,89.02,84.89,87.62,91.21,94.64,96.07,91.60,92.69,86.25,94.59,91.02
N-F1,0.5,DOC,86.06,71.17,67.26,70.04,78.82,72.34,85.25,76.74,66.33,77.22,76.89,75.28
N-F1,0.5,DeepUNK,96.09,31.88,62.84,68.70,78.49,79.72,84.83,82.31,66.35,78.10,67.07,72.40
N-F1,0.5,ADB,78.76,83.76,33.12,73.47,79.72,88.26,86.42,74.93,82.44,73.53,81.15,75.96
N-F1,0.5,SCL,81.16,49.80,44.12,65.43,61.80,53.43,70.24,53.78,2.32,75.32,52.83,55.48
N-F1,0.5,AB,63.34,47.90,55.80,29.88,67.64,70.70,75.80,75.02,57.34,68.76,62.14,61.30
N-F1,0.5,KNNCon,88.16,65.60,35.32,55.04,54.20,71.50,77.67,57.00,76.29,59.16,63.42,63.94
N-F1,0.5,DyEn,97.92,66.27,18.21,53.70,64.22,55.15,79.54,55.02,69.66,70.57,63.83,63.10
N-F1,0.5,LLM-MaxSoftmax,32.88,29.28,53.29,39.70,34.44,27.32,40.32,35.37,53.28,40.84,50.85,39.78
N-F1,0.5,LLM-OpenMax,92.10,79.56,5.87,74.24,81.18,78.59,88.04,80.19,80.89,74.44,77.60,73.88
N-F1,0.5,LLM-TempScale,32.88,29.28,52.00,39.70,34.44,27.97,40.34,35.37,51.87,40.21,51.48,39.59
N-F1,0.5,LLM-Energy,98.06,86.82,74.53,80.09,83.96,87.56,90.95,85.44,81.12,78.59,86.77,84.90
N-F1,0.5,LLM-LogitNorm,66.10,45.27,29.71,76.87,80.74,51.27,90.62,80.69,79.74,63.66,88.55,68.47
N-F1,0.5,LLM-Entropy,35.86,29.13,63.38,34.60,25.02,24.84,34.17,30.05,54.00,46.44,44.73,38.38
N-F1,0.5,LLM-KLMatching,24.40,23.48,11.45,33.75,25.60,22.29,27.84,26.80,36.77,33.03,32.42,27.08
N-F1,0.5,LLM-MaxLogit,96.00,86.88,75.47,80.87,84.52,87.85,91.72,86.25,82.32,79.50,88.26,85.42
N-F1,0.75,DOC,71.05,50.47,38.87,47.52,59.92,63.45,70.25,61.10,42.27,56.72,53.92,55.96
N-F1,0.75,DeepUNK,91.81,28.15,36.45,37.29,60.91,60.71,68.49,63.89,42.35,55.18,48.50,53.98
N-F1,0.75,ADB,70.98,73.78,30.79,54.80,67.71,74.56,77.76,62.32,72.91,58.99,72.87,65.22
N-F1,0.75,SCL,86.53,33.79,26.03,39.99,45.97,40.77,60.02,44.01,3.51,58.25,44.34,43.93
N-F1,0.75,AB,46.14,35.28,32.96,5.12,50.62,52.54,58.98,57.96,41.78,50.62,44.32,43.30
N-F1,0.75,KNNCon,87.47,60.68,27.07,51.54,52.96,64.47,74.13,52.22,65.82,61.92,49.87,58.92
N-F1,0.75,DyEn,87.27,51.22,23.03,35.09,56.05,47.53,72.76,52.82,55.61,58.31,54.69,54.03
N-F1,0.75,LLM-MaxSoftmax,57.75,30.79,45.66,31.06,35.89,31.19,36.72,34.61,48.11,44.17,49.10,40.46
