Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
F1,0.25,DOC,79.85,53.40,49.28,43.67,67.68,60.09,80.52,71.18,9.66,65.70,52.73,57.61
F1,0.25,DeepUNK,93.57,35.23,53.41,39.86,71.45,67.13,75.54,74.55,11.17,64.61,33.81,56.39
F1,0.25,ADB,73.73,75.49,53.13,56.04,67.30,79.14,82.58,73.81,73.49,63.52,79.09,70.67
F1,0.25,SCL,72.71,32.27,35.01,39.13,30.38,45.79,51.07,41.02,3.08,51.94,38.77,40.11
F1,0.25,AB,57.86,31.95,53.28,30.21,59.71,63.41,71.34,68.51,45.31,64.95,52.21,54.43
F1,0.25,KNNCon,87.29,62.00,37.13,45.74,64.32,60.83,78.52,71.43,60.59,56.39,58.46,62.06
F1,0.25,DyEn,96.57,64.05,32.78,52.21,64.81,56.59,80.69,67.32,74.70,65.10,63.03,65.26
F1,0.25,LLM-MaxSoftmax,55.17,45.36,34.21,46.55,50.25,43.51,57.87,60.56,50.46,48.76,59.13,50.17
F1,0.25,LLM-OpenMax,82.04,64.71,34.58,45.30,69.88,64.97,81.93,78.96,54.56,55.32,42.78,61.37
F1,0.25,LLM-TempScale,54.67,45.53,34.42,46.34,50.21,43.63,57.89,60.39,48.44,47.86,59.38,49.89
F1,0.25,LLM-Energy,89.26,79.62,64.30,52.32,73.71,84.44,88.95,76.89,60.85,68.86,71.47,73.70
F1,0.25,LLM-LogitNorm,55.60,42.88,41.44,56.80,64.83,41.22,82.82,71.63,46.27,45.51,79.61,57.15
F1,0.25,LLM-Entropy,57.10,47.34,41.43,47.55,48.63,44.51,56.51,60.32,53.18,52.71,58.46,51.61
F1,0.25,LLM-KLMatching,50.75,42.31,31.21,43.25,46.21,40.94,53.60,58.16,42.62,44.33,54.15,46.14
F1,0.25,LLM-MaxLogit,89.31,79.99,64.51,56.64,75.73,84.87,89.87,78.44,63.97,70.53,76.22,75.46
F1,0.5,DOC,79.23,54.14,50.08,51.31,74.80,73.13,84.13,75.68,3.90,70.82,49.28,60.59
F1,0.5,DeepUNK,95.65,40.45,52.07,32.14,63.13,70.14,71.38,71.79,5.60,65.07,22.92,53.67
F1,0.5,ADB,86.36,84.53,53.96,66.04,81.28,86.13,88.57,80.29,82.36,76.71,84.59,79.17
F1,0.5,SCL,57.51,38.08,23.77,37.87,48.37,55.24,77.98,49.09,2.12,65.68,41.71,45.22
F1,0.5,AB,60.70,31.88,48.76,29.26,64.72,65.92,74.84,68.72,49.64,62.62,56.64,55.79
F1,0.5,KNNCon,92.48,75.83,54.92,58.55,77.08,79.07,86.68,80.22,83.41,74.47,64.47,75.20
F1,0.5,DyEn,95.67,75.40,50.07,57.48,78.06,72.35,85.92,79.20,80.87,78.28,75.19,75.32
F1,0.5,LLM-MaxSoftmax,75.16,65.01,62.44,63.45,71.20,66.71,76.83,77.59,69.84,67.69,75.73,70.15
F1,0.5,LLM-OpenMax,93.57,82.56,50.12,49.08,73.35,83.20,85.39,78.76,60.74,73.91,48.30,70.82
F1,0.5,LLM-TempScale,75.16,65.01,62.04,63.45,71.20,66.87,76.84,77.59,69.26,67.55,75.86,70.08
F1,0.5,LLM-Energy,98.41,84.75,54.10,56.37,79.77,84.06,89.66,79.24,59.57,67.70,71.14,74.98
F1,0.5,LLM-LogitNorm,83.45,69.64,56.26,71.87,83.67,72.92,92.37,85.06,80.25,72.55,83.36,77.40
F1,0.5,LLM-Entropy,75.96,65.10,65.66,61.87,69.67,66.16,75.67,76.89,70.15,69.44,74.56,70.10
F1,0.5,LLM-KLMatching,73.32,63.46,51.90,62.26,69.72,65.54,74.57,76.62,65.18,65.79,72.06,67.31
F1,0.5,LLM-MaxLogit,96.95,85.29,59.49,60.59,81.91,84.92,91.40,81.63,64.09,70.43,78.75,77.77
F1,0.75,DOC,81.80,49.68,43.70,54.64,76.22,79.40,85.90,78.16,1.76,71.45,47.75,60.95
F1,0.75,DeepUNK,96.60,40.62,50.47,24.61,45.21,72.85,64.81,66.91,2.90,63.37,17.83,49.65
F1,0.75,ADB,93.01,86.73,62.79,72.33,85.48,86.14,92.20,83.55,86.49,78.44,88.45,83.24
F1,0.75,SCL,76.54,31.15,33.60,56.08,63.15,61.71,84.74,70.08,1.82,73.02,56.29,55.29
F1,0.75,AB,63.00,30.80,49.52,31.00,68.34,68.20,77.66,70.86,51.96,61.80,59.02,57.47
F1,0.75,KNNCon,96.97,83.82,62.03,69.33,86.01,85.42,92.92,85.96,86.78,83.63,71.36,82.20
F1,0.75,DyEn,94.22,81.31,58.27,68.48,85.21,81.99,91.95,84.28,88.83,82.95,82.79,81.84
F1,0.75,LLM-MaxSoftmax,90.93,77.63,68.89,77.14,84.29,81.76,89.42,85.30,83.01,80.25,86.12,82.25
F1,0.75,LLM-OpenMax,97.02,83.23,63.14,52.32,75.85,89.46,88.82,80.29,54.22,73.43,53.51,73.75
F1,0.75,LLM-TempScale,90.93,77.77,68.76,77.14,84.29,81.77,89.58,85.31,82.92,80.12,86.16,82.25
F1,0.75,LLM-Energy,99.36,80.36,37.37,51.68,75.33,81.09,86.28,74.28,63.22,65.17,74.63,71.71
F1,0.75,LLM-LogitNorm,95.94,83.49,66.70,73.83,83.74,86.84,93.46,83.73,86.20,80.61,84.61,83.56
F1,0.75,LLM-Entropy,91.66,77.97,69.39,76.89,83.67,81.29,88.68,85.07,83.21,80.44,85.39,82.15
F1,0.75,LLM-KLMatching,89.63,75.94,63.63,75.92,83.04,80.43,88.20,84.53,81.52,78.51,84.47,80.53
F1,0.75,LLM-MaxLogit,99.05,82.28,45.02,56.71,79.06,82.99,89.02,78.19,70.32,68.41,81.79,75.71
