Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
K-F1,0.75,DeepUNK,92.53,38.12,46.17,21.07,48.39,64.67,63.01,60.84,0.17,50.93,19.44,45.94
K-F1,0.75,ADB,94.41,87.63,65.47,66.35,82.81,86.33,90.40,82.14,84.86,77.09,88.22,82.34
K-F1,0.75,SCL,72.52,28.76,26.02,40.09,56.76,69.12,80.32,47.91,1.31,65.67,49.66,48.92
K-F1,0.75,AB,63.74,29.72,51.04,27.36,67.82,68.68,77.80,71.06,50.04,60.88,49.16,56.12
K-F1,0.75,KNNCon,97.45,85.00,66.16,69.33,86.99,86.65,92.79,86.30,87.65,84.95,73.32,83.33
K-F1,0.75,DyEn,95.37,84.93,64.57,64.01,86.21,84.69,92.05,84.18,84.26,84.59,80.95,82.35
K-F1,0.75,LLM-MaxSoftmax,92.40,82.28,70.09,70.45,84.07,85.68,90.17,84.59,80.91,77.16,84.66,82.04
K-F1,0.75,LLM-OpenMax,93.57,85.37,68.85,38.94,60.49,89.22,77.66,67.69,31.28,54.42,35.42,63.90
K-F1,0.75,LLM-TempScale,92.40,82.37,70.17,70.84,83.94,85.90,90.34,84.50,80.84,76.93,84.80,82.09
K-F1,0.75,LLM-EnergyBased,90.25,81.04,33.87,40.28,74.35,82.53,82.62,73.25,42.66,47.43,67.14,65.04
K-F1,0.75,LLM-LogitNorm,96.48,84.56,67.75,62.48,81.37,88.99,91.98,81.91,79.34,72.07,75.58,80.23
K-F1,0.75,LLM-Entropy,92.70,82.46,69.11,70.88,83.27,85.70,89.64,84.36,81.41,77.64,84.72,81.99
K-F1,0.75,LLM-KLMatching,91.71,81.49,69.37,70.52,82.96,83.59,89.22,83.86,79.75,76.48,83.14,81.10
K-F1,0.75,LLM-MaxLogit,92.73,83.03,44.15,44.64,77.96,85.02,87.90,77.20,49.36,53.32,74.93,70.02
