Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
K-F1,0.25,DOC,74.47,43.80,38.71,29.59,60.96,58.47,77.20,65.11,0.00,56.39,38.09,49.34
K-F1,0.25,DeepUNK,82.13,16.60,43.12,24.10,63.86,55.91,70.89,64.56,1.41,51.86,30.01,45.86
K-F1,0.25,ADB,69.34,73.67,47.47,45.74,67.06,76.68,80.15,71.86,60.74,50.48,74.20,65.22
K-F1,0.25,SCL,68.20,20.17,17.71,28.90,20.43,40.75,39.42,29.90,2.35,38.61,22.47,29.90
K-F1,0.25,AB,53.40,25.90,42.02,26.00,58.20,59.32,70.82,67.40,40.12,58.26,45.38,49.71
K-F1,0.25,KNNCon,85.52,54.62,42.36,38.75,62.27,60.40,76.40,72.35,60.35,60.02,56.78,60.89
K-F1,0.25,DyEn,92.41, ,39.20,42.45,64.46,55.67,76.54,68.79,62.67,64.35,63.42,63.00
K-F1,0.25,LLM-MaxSoftmax,53.72,48.62,40.49,46.97,49.36,47.32,56.74,60.88,46.57,47.34,50.15,49.83
K-F1,0.25,LLM-OpenMax,79.85,58.68,40.31,33.57,56.44,57.02,70.50,61.48,37.19,42.25,18.17,50.50
K-F1,0.25,LLM-TempScale,53.72,48.62,40.53,46.39,49.07,47.78,56.74,60.88,45.57,46.86,50.14,49.66
K-F1,0.25,LLM-EnergyBased,88.07,74.88,49.66,39.71,69.68,74.20,85.36,72.83,49.89,55.28,52.78,64.76
K-F1,0.25,LLM-LogitNorm,53.46,47.70,41.28,46.52,65.27,50.06,82.68,69.16,45.97,46.57,59.31,55.27
K-F1,0.25,LLM-Entropy,55.50,49.86,43.22,48.51,48.65,48.83,55.64,61.45,48.22,50.82,49.84,50.96
K-F1,0.25,LLM-KLMatching,50.79,46.76,40.06,42.26,46.24,44.52,53.30,59.09,43.59,46.14,46.30,47.19
K-F1,0.25,LLM-MaxLogit,87.58,76.17,50.37,40.68,71.77,76.55,86.28,74.48,52.93,57.46,56.47,66.43
K-F1,0.5,DOC,71.82,48.20,39.74,41.15,64.91,72.75,79.48,69.43,0.00,62.97,16.32,51.52
K-F1,0.5,DeepUNK,86.98,38.56,44.72,24.50,58.77,61.07,67.23,65.28,1.22,51.31,22.24,47.44
K-F1,0.5,ADB,86.02,84.80,56.99,62.24,77.57,85.26,86.42,77.66,81.33,72.21,84.26,77.71
K-F1,0.5,SCL,79.46,26.56,15.72,35.58,34.75,50.43,74.35,38.73,1.71,55.16,36.39,40.80
K-F1,0.5,AB,59.80,29.00,46.80,26.72,64.22,65.12,74.80,68.94,47.20,60.56,47.70,53.71
K-F1,0.5,KNNCon,92.69,75.17,57.59,55.10,79.40,81.16,86.60,81.44,81.65,77.14,64.31,75.66
K-F1,0.5,DyEn,95.30, ,56.18,56.19,77.64,74.84,86.63,78.14,77.85,77.27,74.40,75.44
K-F1,0.5,LLM-MaxSoftmax,79.12,72.10,61.22,62.47,71.07,71.56,78.57,76.17,69.99,67.18,74.17,71.24
K-F1,0.5,LLM-OpenMax,92.34,81.48,58.97,37.10,55.02,85.18,73.90,62.76,43.16,52.12,28.87,60.99
K-F1,0.5,LLM-TempScale,79.12,72.22,61.04,62.19,70.98,71.56,78.73,76.04,69.65,66.91,74.17,71.15
K-F1,0.5,LLM-EnergyBased,94.70,76.88,45.83,39.89,74.82,84.96,86.67,73.42,46.61,63.27,62.64,68.15
K-F1,0.5,LLM-LogitNorm,83.76,72.80,58.38,63.58,80.99,76.73,91.61,79.73,72.64,67.63,77.13,75.00
K-F1,0.5,LLM-Entropy,79.93,72.73,62.05,62.45,70.10,71.50,77.29,76.54,70.05,67.98,73.25,71.26
K-F1,0.5,LLM-KLMatching,76.49,69.91,58.05,59.88,68.99,70.56,75.25,74.55,67.88,65.91,71.19,68.97
K-F1,0.5,LLM-MaxLogit,95.40,79.10,49.51,47.45,77.51,86.21,89.63,77.10,54.15,66.35,71.67,72.19
K-F1,0.75,DOC,77.65,43.92,36.91,41.66,66.98,78.98,80.49,71.88,0.00,62.12,0.00,50.96
