Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
F1,0.25,DOC,77.73,51.34,49.2,33.15,62.24,61.82,77.58,66.03,9.6,61.16,39.0,14.9,50.31
F1,0.25,DeepUNK,84.39,26.79,54.21,27.6,65.13,61.47,71.45,66.13,10.86,59.37,30.66,11.2,47.44
F1,0.25,ADB,70.01,75.47,50.24,46.79,67.86,78.83,80.43,72.29,62.5,51.15,74.39,21.05,62.58
F1,0.25,SCL,71.72,29.35,32.41,33.97,23.51,48.05,40.52,32.93,3.05,48.1,23.32,10.78,33.14
F1,0.25,AB,57.66,31.7,52.38,26.78,59.34,63.32,71.26,68.62,43.76,63.4,45.98,13.88,49.84
F1,0.25,KNNCon,85.73,50.77,38.76,39.71,62.26,60.9,76.59,71.66,59.8,57.24,56.94,17.2,56.46
F1,0.25,DyEn,94.32,64.65,33.7,44.19,63.87,55.62,76.79,68.31,65.43,65.57,63.56,24.21,60.02
F1,0.25,LLM-MaxSoftmax,51.26,44.5,33.34,46.69,48.84,45.09,56.56,59.84,47.68,45.31,50.37,14.8,45.36
F1,0.25,LLM-OpenMax,80.43,58.79,35.28,36.82,58.08,56.42,71.07,63.04,40.56,45.93,19.4,15.95,48.48
F1,0.25,LLM-TempScale,51.26,44.5,33.47,45.97,48.52,45.72,56.56,59.84,46.43,44.48,50.36,15.11,45.19
F1,0.25,LLM-EnergyBased,89.14,77.97,60.52,43.66,70.74,77.43,85.61,73.99,54.38,60.52,53.49,10.72,63.18
F1,0.25,LLM-LogitNorm,50.13,43.15,37.73,47.94,65.89,47.73,82.9,69.53,47.18,44.46,59.87,14.45,50.91
F1,0.25,LLM-Entropy,53.55,46.66,39.6,48.33,48.0,47.09,55.4,60.37,49.69,50.49,50.01,14.64,46.99
F1,0.25,LLM-KLMatching,46.47,40.92,31.87,41.14,45.18,40.3,52.91,57.54,43.29,42.87,46.33,14.76,41.96
F1,0.25,LLM-MaxLogit,88.62,78.97,60.82,44.45,72.7,79.43,86.49,75.54,57.07,62.16,57.11,12.09,64.62
F1,0.5,DOC,72.86,51.14,44.53,41.34,65.21,72.92,79.53,69.66,3.9,64.26,16.8,10.29,49.37
F1,0.5,DeepUNK,87.27,38.65,48.54,26.46,59.26,62.55,67.44,65.73,4.16,53.91,22.56,9.3,45.49
F1,0.5,ADB,85.13,84.69,52.17,62.38,77.54,85.49,86.39,77.58,81.39,71.75,84.23,19.46,72.35
F1,0.5,SCL,80.31,29.56,22.26,37.38,35.32,50.95,74.34,39.3,1.78,57.35,36.56,11.13,39.69
F1,0.5,AB,60.12,31.46,48.32,26.72,64.32,65.68,74.78,69.18,47.74,61.44,47.86,19.74,51.45
F1,0.5,KNNCon,92.19,71.85,52.39,54.9,79.04,80.6,86.48,80.88,81.24,75.65,64.26,20.8,70.02
F1,0.5,DyEn,95.17,75.65,50.37,56.31,77.28,72.38,86.54,77.54,77.69,76.07,74.29,19.31,69.88
F1,0.5,LLM-MaxSoftmax,75.93,67.71,58.19,61.78,70.22,68.16,78.18,75.35,68.88,64.91,74.02,15.07,64.87
F1,0.5,LLM-OpenMax,92.12,80.73,52.45,38.93,55.54,84.9,74.02,63.26,45.13,53.3,29.25,15.07,57.06
F1,0.5,LLM-TempScale,75.93,67.88,57.79,61.46,70.12,68.16,78.35,75.18,68.51,64.47,74.02,15.39,64.77
F1,0.5,LLM-EnergyBased,94.63,77.7,50.33,41.75,74.99,85.27,86.71,73.7,48.48,64.85,62.83,8.63,64.16
F1,0.5,LLM-LogitNorm,82.11,69.0,52.76,64.18,80.97,75.08,91.59,79.76,72.66,66.73,77.22,11.82,68.66
F1,0.5,LLM-Entropy,77.08,68.57,59.77,61.75,69.1,67.98,76.83,75.67,68.89,66.32,73.07,15.28,65.03
F1,0.5,LLM-KLMatching,72.29,64.2,49.76,58.67,67.84,66.68,74.67,73.28,66.46,62.73,70.95,18.52,62.17
F1,0.5,LLM-MaxLogit,95.23,79.72,53.47,48.96,77.64,86.46,89.65,77.3,55.66,67.7,71.8,10.99,67.88
F1,0.75,DOC,76.99,44.43,37.06,41.62,66.77,77.97,80.36,71.59,1.76,61.42,0.24,8.61,47.4
F1,0.75,DeepUNK,91.97,37.48,45.32,21.56,48.53,64.13,63.03,60.81,1.93,50.89,19.62,5.48,42.56
F1,0.75,ADB,92.94,86.23,61.65,65.88,82.51,85.53,90.25,81.74,84.19,75.49,88.13,19.46,76.17
F1,0.75,SCL,73.31,29.24,26.1,40.13,56.55,67.37,80.13,47.79,1.39,64.79,49.6,10.99,45.62
F1,0.75,AB,62.62,30.28,49.02,27.36,67.52,67.7,77.66,70.82,49.68,60.1,49.14,18.06,52.5
F1,0.75,KNNCon,96.73,81.82,59.82,68.72,86.44,85.22,92.6,85.57,86.64,82.92,73.21,20.78,76.71
F1,0.75,DyEn,95.02,82.14,59.77,63.43,85.71,82.52,91.87,83.4,84.29,82.68,80.82,17.85,75.79
F1,0.75,LLM-MaxSoftmax,89.59,77.84,67.29,69.44,83.3,83.05,89.76,83.73,79.53,74.73,84.48,17.21,75.0
F1,0.75,LLM-OpenMax,93.03,83.74,61.22,39.25,60.36,88.36,77.54,67.51,32.16,54.08,35.49,13.76,58.87
