Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
H-Score,0.25,DAL,77.93,51.19,27.99,37.08,55.47,58.15,78.42,56.29,52.28,57.05,77.76,16.0,53.8
H-Score,0.25,GeoID,99.5,81.51,58.61,46.27,73.39,80.77,84.16,74.56,65.68,66.21,79.7,19.62,69.17
H-Score,0.25,SDC,57.75,66.29,41.37,45.12,38.44,72.39,58.36,57.28,61.09,43.15,63.74,22.5,52.29
H-Score,0.25,DPN,81.14,57.54,29.08,40.52,37.39,9.31,56.28,36.32,59.31,34.15,74.91,25.62,45.13
H-Score,0.25,TAN,90.62,70.71,35.4,46.3,49.5,31.73,67.37,43.11,66.61,43.3,80.35,20.12,53.76
H-Score,0.25,LOOP,89.7,78.86,60.75,46.8,75.23,83.05,89.66,78.66,68.77,69.22,80.27,21.11,70.17
H-Score,0.25,ALUP,96.93,79.29,61.65,49.48,74.41,82.62,87.52,76.97,69.37,69.64,81.06,21.87,70.9
H-Score,0.5,DAL,95.57,59.24,39.73,43.85,62.42,69.06,80.53,67.03,58.46,65.8,79.3,12.36,61.11
H-Score,0.5,GeoID,100.0,79.54,63.13,50.81,75.54,81.64,87.43,78.98,64.09,74.48,81.28,17.56,71.21
H-Score,0.5,SDC,84.02,80.4,53.89,58.44,55.46,82.29,61.93,71.43,72.75,68.8,68.19,16.81,64.53
H-Score,0.5,DPN,89.53,58.95,32.97,44.07,41.76,20.96,60.32,41.7,64.37,30.22,78.48,17.45,48.4
H-Score,0.5,TAN,95.95,73.41,38.66,48.36,51.78,46.17,68.54,47.46,65.6,43.73,80.98,18.17,56.57
H-Score,0.5,LOOP,90.04,70.19,60.55,48.26,75.92,82.96,90.76,79.29,70.36,73.22,81.67,16.43,69.97
H-Score,0.5,ALUP,97.09,79.34,59.88,55.52,76.02,85.19,88.13,79.47,74.12,72.4,82.04,16.83,72.17
H-Score,0.75,DAL,95.9,63.78,45.75,44.45,62.2,67.77,82.37,68.73,65.2,65.95,80.03,15.4,63.13
H-Score,0.75,GeoID,98.83,85.7,56.94,54.26,70.62,79.01,84.29,78.35,69.54,80.48,80.96,18.79,71.48
H-Score,0.75,SDC,93.95,88.97,67.35,62.73,74.35,87.56,75.4,83.07,82.12,74.76,75.17,21.43,73.9
H-Score,0.75,DPN,96.75,51.95,41.8,46.69,47.51,39.71,69.67,47.54,58.59,37.26,77.56,21.14,53.01
H-Score,0.75,TAN,97.05,68.2,47.01,55.87,54.12,67.11,70.19,53.32,62.71,50.44,81.05,21.47,60.71
H-Score,0.75,LOOP,94.19,82.3,55.7,56.03,74.59,83.55,89.15,79.61,70.26,72.33,81.14,19.21,71.51
H-Score,0.75,ALUP,96.76,85.6,59.92,59.62,77.43,85.86,90.16,78.04,74.37,64.27,82.96,21.35,73.03
