Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
H-Score,0.25,DAL,73.5,47.42,28.3,39.08,58.38,55.02,76.8,59.74,56.63,54.27,78.29,16.0,53.62
H-Score,0.25,GeoID,99.98,80.48,63.52,49.51,76.72,82.88,88.47,76.63,67.17,69.87,79.44,22.14,71.4
H-Score,0.25,SDC,67.02,75.44,43.54,44.47,39.49,74.66,61.49,60.04,67.19,51.54,61.42,22.22,55.71
H-Score,0.25,DPN,82.49,51.92,25.11,38.59,35.84,8.52,56.4,31.66,58.09,37.02,76.11,23.7,43.79
H-Score,0.25,TAN,93.5,70.45,39.1,45.2,47.49,26.83,66.16,43.67,63.59,42.34,79.74,18.74,53.07
H-Score,0.25,LOOP,90.33,75.59,61.83,48.67,75.73,84.58,90.48,79.71,68.39,73.98,80.37,19.6,70.77
H-Score,0.25,ALUP,98.3,79.56,59.92,51.56,77.31,84.78,89.21,78.59,74.18,71.11,83.04,23.38,72.58
H-Score,0.5,DAL,90.18,52.89,35.68,45.4,62.42,70.91,80.64,67.51,57.02,61.83,79.61,12.22,59.69
H-Score,0.5,GeoID,100.0,83.35,59.53,53.91,75.77,85.09,90.31,78.99,65.94,71.59,81.26,19.68,72.12
H-Score,0.5,SDC,85.44,85.06,56.09,65.24,61.2,84.84,64.35,75.46,76.89,64.75,64.52,17.38,66.77
H-Score,0.5,DPN,89.7,56.6,41.57,43.3,38.67,19.59,65.78,43.59,67.08,38.94,77.82,20.76,50.28
H-Score,0.5,TAN,98.1,70.01,41.76,45.92,54.56,46.79,69.45,48.15,67.3,45.12,82.17,20.3,57.47
H-Score,0.5,LOOP,92.3,80.78,59.9,53.55,78.74,86.26,89.48,81.94,72.74,69.86,81.95,17.04,72.05
H-Score,0.5,ALUP,99.85,80.55,59.11,53.97,79.2,83.47,90.79,80.54,73.75,74.45,83.02,21.43,73.34
H-Score,0.75,DAL,87.57,59.12,44.69,48.04,61.71,64.9,79.72,66.91,63.09,64.9,78.63,19.21,61.54
H-Score,0.75,GeoID,100.0,81.98,61.07,57.93,75.59,83.42,89.79,78.35,66.15,72.42,80.3,22.02,72.42
H-Score,0.75,SDC,94.5,90.73,69.79,53.18,77.94,88.94,77.96,86.58,83.95,79.51,75.46,23.57,75.18
H-Score,0.75,DPN,93.22,43.99,40.78,39.88,47.55,33.9,69.07,45.78,60.85,44.31,79.86,25.21,52.03
H-Score,0.75,TAN,97.23,64.25,44.99,52.26,54.84,66.32,69.09,52.52,64.27,46.89,81.22,22.4,59.69
H-Score,0.75,LOOP,96.68,78.35,51.3,59.46,76.3,84.4,90.54,81.0,73.47,73.1,80.96,22.72,72.36
H-Score,0.75,ALUP,99.4,78.08,53.07,56.98,79.41,84.72,90.51,80.63,76.93,69.88,83.16,22.28,72.92
