method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,K,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
CLNN,stackoverflow,0.25,0.1,1.0,2025,0,11.52,12.22,14.69,10.46,1.84,6.75,"{""data_dir"": ""data"", ""api_key"": ""YOUR_API_KEY"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model_name"": ""deepseek-v3:671b"", ""save_results_path"": ""results/gcd/loop"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""gpu_id"": ""2"", ""save_premodel"": true, ""save_model"": true, ""disable_pretrain"": false, ""save_model_path"": ""outputs/gcd/loop/model_stackoverflow_0.25_0.1_fold1_seed2025"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""seed"": 2025, ""method"": ""CLNN"", ""labeled_ratio"": 0.1, ""rtr_prob"": 0.25, ""pretrain_batch_size"": 64, ""train_batch_size"": 64, ""eval_batch_size"": 128, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 1e-05, ""temp"": 0.07, ""view_strategy"": ""rtr"", ""update_per_epoch"": 5, ""report_pretrain"": false, ""topk"": 500, ""grad_clip"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""output_dir"": ""./outputs"", ""pretrain_dir"": ""outputs/gcd/loop/premodel_stackoverflow_0.25_0.1_fold1_seed2025/premodel_stackoverflow_0.25_2025"", ""es_metric"": ""NMI"", ""es_patience"": 5, ""es_min_delta"": 0.1, ""config"": ""configs/gcd/loop.yaml"", ""cluster_num_factor"": 1, ""num_labeled_examples"": 300}"
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025,19,26.75,26.01,24.74,27.41,12.87,47.19,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""1"", ""num_train_epochs"": ""1"", ""seed"": ""2025"", ""gpu_id"": ""0"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""0"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}"
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025,19,27.14,25.41,22.89,28.53,13.38,47.65,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""1"", ""num_train_epochs"": ""1"", ""seed"": ""2025"", ""gpu_id"": ""2"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""1"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}"
TAN,stackoverflow,0.25,0.1,1.0,2025,0,32.62,29.44,75.53,18.28,17.63,27.77,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_stackoverflow_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
ADB,stackoverflow,0.25,1.0,1.0,2025,0,,,,,,,"{""config"": ""configs/openset/adb.yaml"", ""output_dir"": ""./outputs/openset/adb/stackoverflow_0.25_2025"", ""data_dir"": ""./data"", ""save_results_path"": ""./results"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 1.0, ""method"": null, ""seed"": 2025, ""gpu_id"": ""0"", ""lr"": 2e-05, ""num_train_epochs"": 1.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""pretrain_dir"": ""./outputs/openset/adb/stackoverflow_0.25_2025/models""}"
ADB,stackoverflow,0.25,1.0,1.0,2025,0,,,,,,,"{""config"": ""configs/openset/adb.yaml"", ""output_dir"": ""./outputs/openset/adb/stackoverflow_0.25_2025"", ""data_dir"": ""./data"", ""save_results_path"": ""./results"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 1.0, ""method"": null, ""seed"": 2025, ""gpu_id"": ""0"", ""lr"": 2e-05, ""num_train_epochs"": 1.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""pretrain_dir"": ""./outputs/openset/adb/stackoverflow_0.25_2025/models""}"
ab,banking,0.25,0.1,1.0,2025,0,76.4,,,,,,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""./results""}"
CLAP,banking,0.25,0.1,1.0,2025,0,21.85,,,,,,"{""output_dir"": ""./outputs/openset/clap/banking_0.25_2025"", ""fold_idx"": 0, ""fold_num"": 5, ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/clap"", ""pretrain_dir"": ""./outputs/openset/clap/banking_0.25_2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 128, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": false, ""save_model"": false, ""save_results"": false, ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 2025, ""gpu_id"": ""0"", ""lr"": 2e-05, ""num_train_epochs"": 1.0, ""train_batch_size"": 64, ""eval_batch_size"": 256, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""write_results"": false, ""p"": 0, ""n"": 0, ""safe1"": 0.1, ""safe2"": 0.5, ""alpha"": 0.1, ""cosine"": true, ""train_from_scratch"": false, ""draw_train"": false, ""do_bert_output_norm"": false, ""aug_gen"": false, ""neg_times"": 1, ""neg_from_gen"": false, ""config"": ""configs/openset/clap.yaml""}"
CLAP,banking,0.5,0.1,1.0,2025,0,39.35,,,,,,"{""output_dir"": ""./outputs/openset/clap/banking_0.5_2025"", ""fold_idx"": 0, ""fold_num"": 5, ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/clap"", ""pretrain_dir"": ""./outputs/openset/clap/banking_0.5_2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 128, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": false, ""save_model"": false, ""save_results"": false, ""dataset"": ""banking"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 2025, ""gpu_id"": ""0"", ""lr"": 2e-05, ""num_train_epochs"": 1.0, ""train_batch_size"": 64, ""eval_batch_size"": 256, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""write_results"": false, ""p"": 0, ""n"": 0, ""safe1"": 0.1, ""safe2"": 0.5, ""alpha"": 0.1, ""cosine"": true, ""train_from_scratch"": false, ""draw_train"": false, ""do_bert_output_norm"": false, ""aug_gen"": false, ""neg_times"": 1, ""neg_from_gen"": false, ""config"": ""configs/openset/clap.yaml""}"
CLAP,banking,0.75,0.1,1.0,2025,0,63.38,,,,,,"{""output_dir"": ""./outputs/openset/clap/banking_0.75_2025"", ""fold_idx"": 0, ""fold_num"": 5, ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/clap"", ""pretrain_dir"": ""./outputs/openset/clap/banking_0.75_2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 128, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": false, ""save_model"": false, ""save_results"": false, ""dataset"": ""banking"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 2025, ""gpu_id"": ""0"", ""lr"": 2e-05, ""num_train_epochs"": 1.0, ""train_batch_size"": 64, ""eval_batch_size"": 256, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""write_results"": false, ""p"": 0, ""n"": 0, ""safe1"": 0.1, ""safe2"": 0.5, ""alpha"": 0.1, ""cosine"": true, ""train_from_scratch"": false, ""draw_train"": false, ""do_bert_output_norm"": false, ""aug_gen"": false, ""neg_times"": 1, ""neg_from_gen"": false, ""config"": ""configs/openset/clap.yaml""}"
