Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.25,DOC,90.43,71.63,59.21,78.98,79.74,70.78,88.10,73.04,77.09,72.63,82.73,78.12,76.87
ACC,0.25,DeepUNK,93.14,52.91,66.20,56.24,83.31,82.77,88.22,85.97,77.17,82.66,54.34,30.82,71.15
ACC,0.25,ADB,68.65,78.15,49.49,56.86,76.45,84.92,87.06,72.69,69.75,49.13,79.52,39.63,67.69
ACC,0.25,SCL,85.20,59.27,57.08,79.51,71.55,76.57,74.36,71.70,12.94,77.72,62.53,36.61,63.75
ACC,0.25,AB,69.72,42.76,62.36,59.28,72.72,75.54,81.82,81.50,62.66,76.18,70.70,62.64,68.16
ACC,0.25,KNNCon,84.02,45.05,34.85,51.70,60.18,59.60,79.56,59.58,56.39,49.48,62.57,37.92,56.74
ACC,0.25,DyEn,95.13,64.93,28.84,62.83,65.63,52.53,81.83,57.41,65.17,65.06,66.64,38.92,62.08
ACC,0.25,LLM-MaxSoftmax,43.36,39.07,26.99,49.42,41.74,39.48,49.97,43.93,52.42,39.88,58.28,37.22,43.48
ACC,0.25,LLM-OpenMax,82.20,58.63,30.04,74.83,82.77,56.04,88.59,81.47,61.19,53.47,78.33,69.33,68.07
ACC,0.25,LLM-TempScale,43.35,39.07,27.15,48.54,41.12,40.40,49.97,43.91,49.56,38.73,58.25,41.04,43.42
ACC,0.25,LLM-EnergyBased,92.14,86.09,73.21,81.84,85.78,89.85,92.60,88.35,85.06,73.60,88.63,65.61,83.56
ACC,0.25,LLM-LogitNorm,41.76,37.65,33.81,60.58,71.16,43.18,87.40,69.34,52.88,39.82,86.91,45.97,55.87
ACC,0.25,LLM-Entropy,46.50,42.03,34.02,51.12,39.90,42.28,47.49,44.01,57.14,47.37,55.66,36.84,45.36
ACC,0.25,LLM-KLMatching,35.83,34.29,25.33,43.10,34.40,32.00,42.64,37.89,41.53,36.01,47.60,30.29,36.74
ACC,0.25,LLM-MaxLogit,91.33,86.11,72.66,80.03,85.39,90.36,92.16,88.31,84.96,73.23,88.60,62.61,82.98
ACC,0.5,DOC,79.75,63.46,57.99,77.14,72.14,73.15,81.81,73.62,50.34,69.43,58.16,54.01,67.58
ACC,0.5,DeepUNK,89.04,37.22,58.59,62.37,70.32,71.61,76.76,75.56,38.55,67.13,45.42,50.04,61.88
ACC,0.5,ADB,80.64,84.00,45.20,73.06,76.13,86.50,84.58,74.52,82.47,69.00,81.87,35.09,72.75
ACC,0.5,SCL,86.60,48.23,43.54,74.88,50.42,59.31,73.98,52.33,13.30,68.28,56.66,46.58,56.18
ACC,0.5,AB,60.76,38.42,50.30,47.54,65.56,67.56,74.62,72.40,51.58,63.68,61.64,47.44,58.46
ACC,0.5,KNNCon,89.28,65.93,46.80,66.96,72.39,77.36,81.51,69.93,78.23,70.60,69.22,44.41,69.39
ACC,0.5,DyEn,94.37,71.42,43.88,71.52,70.11,65.89,82.48,66.50,70.67,71.55,71.01,33.83,67.77
ACC,0.5,LLM-MaxSoftmax,64.45,58.66,53.61,64.57,57.81,57.91,65.67,61.61,63.04,58.61,68.07,36.64,59.22
ACC,0.5,LLM-OpenMax,90.66,78.61,45.66,80.08,68.56,83.43,79.59,74.81,71.71,58.31,61.72,58.51,70.97
ACC,0.5,LLM-TempScale,64.45,58.87,53.07,63.76,57.64,57.91,65.98,61.09,62.68,57.82,68.08,35.94,58.94
ACC,0.5,LLM-EnergyBased,94.02,81.06,64.40,81.22,78.79,87.04,88.33,79.77,73.87,72.15,81.91,50.23,77.73
ACC,0.5,LLM-LogitNorm,74.63,60.51,45.96,81.18,80.05,68.51,90.30,79.59,73.87,63.87,87.60,43.37,70.79
ACC,0.5,LLM-Entropy,66.27,59.83,56.64,64.00,55.36,57.52,62.89,61.26,62.81,61.15,65.75,33.47,58.91
ACC,0.5,LLM-KLMatching,59.25,54.29,41.87,57.18,53.05,55.63,58.68,55.39,59.71,54.98,61.91,30.97,53.58
ACC,0.5,LLM-MaxLogit,93.97,82.04,65.58,81.84,80.05,87.77,90.18,81.47,75.92,73.78,85.55,51.79,79.16
ACC,0.75,DOC,75.05,48.73,38.03,69.92,62.75,74.08,75.90,68.31,28.10,59.27,24.95,35.74,55.07
ACC,0.75,DeepUNK,89.94,35.53,43.26,39.35,53.77,61.57,65.71,63.70,28.13,51.54,38.81,24.79,49.67
ACC,0.75,ADB,89.03,82.93,58.09,77.79,78.04,82.33,85.92,76.41,82.55,70.88,85.49,41.48,75.91
ACC,0.75,SCL,77.81,38.57,31.07,66.54,55.33,64.31,74.73,48.32,11.84,62.30,61.48,44.72,53.08
