Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.25,DOC,78.63,74.88,62.74,70.41,68.13,76.00,74.67,75.19,63.35,75.46,67.00,78.63,72.09
ACC,0.25,DeepUNK,79.80,49.02,73.43,47.70,19.39,76.51,26.10,17.74,7.45,27.42,21.34,6.55,37.70
ACC,0.25,ADB,43.36,69.19,39.75,31.84,37.25,80.12,79.16,61.48,55.37,40.99,61.60,52.18,54.36
ACC,0.25,SCL,98.51,65.50,46.15,48.13,38.69,78.13,57.54,45.80,7.10,38.47,42.46,42.00,50.71
ACC,0.25,AB,75.92,40.39,69.85,63.72,76.37,74.94,83.02,84.95,72.92,73.99,73.83,77.26,72.26
ACC,0.25,KNNCon,88.50,55.96,36.31,61.18,63.23,57.43,79.82,67.60,55.08,49.35,66.95,36.72,59.84
ACC,0.25,DyEn,94.97,61.85,29.57,68.53,64.94,46.85,81.99,68.17,76.71,69.20,66.19,31.60,63.38
ACC,0.25,LLM-MaxSoftmax,36.24,39.77,32.65,44.22,51.77,46.51,61.47,49.19,50.52,35.50,55.15,38.32,45.11
ACC,0.25,LLM-OpenMax,31.27,54.33,21.21,51.16,75.88,63.01,76.20,74.27,67.71,31.87,74.69,75.71,58.11
ACC,0.25,LLM-TempScale,39.94,39.39,30.98,41.05,52.47,45.53,61.70,47.74,51.01,41.09,57.00,44.60,46.04
ACC,0.25,LLM-Energy,62.89,71.30,60.90,62.76,78.92,81.20,81.81,74.22,67.43,57.25,73.34,62.16,69.51
ACC,0.25,LLM-LogitNorm,26.55,31.29,41.12,47.82,65.15,30.94,80.90,57.09,29.51,29.25,67.96,35.57,45.26
ACC,0.25,LLM-Entropy,43.08,47.04,47.96,49.42,52.33,54.74,61.07,52.15,60.13,45.87,55.12,40.45,50.78
ACC,0.25,LLM-KLMatching,24.71,36.88,27.59,14.42,35.09,34.55,40.43,30.77,18.49,17.62,24.82,21.73,27.26
ACC,0.25,LLM-MaxLogit,60.91,70.32,61.51,59.25,78.92,81.06,82.66,72.48,64.86,56.19,70.87,57.63,68.05
ACC,0.5,DOC,56.58,59.66,48.95,23.01,45.40,73.79,64.25,52.33,45.77,50.62,36.43,45.27,50.17
ACC,0.5,DeepUNK,59.38,45.57,51.78,43.07,41.46,57.59,46.84,43.83,12.57,39.11,29.36,23.78,41.20
ACC,0.5,ADB,63.65,79.73,48.84,37.51,58.06,84.25,71.12,62.71,51.26,43.14,68.56,42.83,59.30
ACC,0.5,SCL,98.59,51.65,44.55,50.61,46.09,67.27,47.15,46.45,11.87,37.97,40.42,39.65,48.52
ACC,0.5,AB,59.24,36.37,49.56,52.56,66.62,67.33,73.56,74.15,52.68,58.79,54.71,54.86,58.37
ACC,0.5,KNNCon,88.92,70.18,48.23,67.02,68.97,76.41,82.08,70.71,77.28,74.20,71.20,43.88,69.92
ACC,0.5,DyEn,90.25,70.78,43.33,64.99,69.41,66.84,81.08,73.74,81.72,72.32,69.68,33.58,68.14
ACC,0.5,LLM-MaxSoftmax,65.44,50.08,41.20,61.18,56.43,62.67,69.13,57.40,53.14,33.60,42.59,38.17,52.59
