Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
N-F1,0.25,DOC,87.39,84.38,76.33,67.42,81.92,84.59,85.50,85.83,69.09,86.02,80.16,82.25,80.91
N-F1,0.25,DeepUNK,88.01,62.66,83.35,49.85,4.16,86.06,9.96,0.15,0.00,24.35,12.02,7.48,35.67
N-F1,0.25,ADB,46.79,74.82,43.06,34.81,44.46,85.89,85.41,72.11,63.51,47.99,70.66,50.46,60.00
N-F1,0.25,SCL,99.03,73.80,47.05,51.66,34.18,86.67,57.84,42.71,2.14,35.08,42.19,41.08,51.12
N-F1,0.25,AB,84.72,52.99,80.08,0.00,84.70,83.81,88.91,91.61,82.62,83.60,83.58,78.14,74.56
N-F1,0.25,KNNCon,90.36,55.74,34.78,54.45,67.07,61.43,84.02,71.83,53.06,44.92,69.14,28.85,59.64
N-F1,0.25,DyEn,96.06,65.10,24.23,34.54,70.80,47.93,86.57,74.58,72.99,74.46,69.25,29.36,62.16
N-F1,0.25,LLM-MaxSoftmax,46.36,42.27,39.16,56.75,61.68,50.71,69.30,61.26,64.26,52.54,72.98,49.67,55.58
N-F1,0.25,LLM-OpenMax,42.37,66.18,17.64,60.94,86.15,67.90,86.22,85.12,80.22,47.10,85.31,75.82,66.75
N-F1,0.25,LLM-TempScale,50.51,41.65,36.12,54.29,61.77,48.71,69.13,59.09,63.68,59.29,74.06,54.34,56.05
N-F1,0.25,LLM-Energy,76.40,81.60,73.32,75.72,87.65,87.92,89.14,84.56,80.21,73.49,84.61,54.34,81.33
N-F1,0.25,LLM-LogitNorm,31.32,27.06,47.32,63.18,76.67,21.36,88.05,70.23,38.64,43.12,81.60,46.89,52.95
N-F1,0.25,LLM-Entropy,54.31,53.52,60.38,62.42,61.64,61.42,68.64,64.28,72.80,64.10,73.02,51.71,62.35
N-F1,0.25,LLM-KLMatching,28.37,37.04,29.24,13.26,39.75,30.83,42.46,35.62,14.74,22.50,41.17,27.03,30.17
N-F1,0.25,LLM-MaxLogit,74.74,80.59,74.00,72.60,87.54,87.49,89.60,83.26,78.26,72.74,83.30,66.33,79.20
N-F1,0.5,DOC,69.73,69.71,65.41,33.83,64.68,78.17,73.14,68.69,54.33,67.21,53.07,52.85,62.57
N-F1,0.5,DeepUNK,71.12,61.03,66.89,32.62,31.21,70.13,29.93,32.60,0.38,19.40,10.11,28.31,37.81
N-F1,0.5,ADB,56.37,79.39,42.02,26.73,60.38,85.94,71.25,67.82,44.19,43.98,68.71,29.96,56.39
N-F1,0.5,SCL,98.62,63.88,48.79,48.22,44.74,75.48,45.37,45.47,2.98,28.27,44.55,39.06,48.79
N-F1,0.5,AB,65.25,47.69,56.91,0.00,72.48,72.21,76.81,80.66,63.28,68.60,64.08,55.92,60.32
N-F1,0.5,KNNCon,85.82,57.97,29.83,54.24,58.30,73.55,78.45,62.84,73.14,69.79,63.04,37.24,62.02
N-F1,0.5,DyEn,89.13,64.49,23.46,73.75,63.22,58.45,78.35,70.60,69.66,69.69,65.14,16.55,61.87
N-F1,0.5,LLM-MaxSoftmax,48.51,43.57,38.10,56.61,56.40,49.55,63.44,63.48,63.35,53.38,60.50,39.43,53.03
N-F1,0.5,LLM-OpenMax,73.30,64.97,59.43,67.33,67.97,71.44,69.32,67.80,67.13,55.78,65.25,52.89,65.22
N-F1,0.5,LLM-TempScale,48.44,43.58,38.09,51.80,55.47,48.64,62.38,60.75,61.07,55.01,60.05,40.41,52.14
N-F1,0.5,LLM-Energy,87.08,72.65,67.47,66.38,72.89,84.11,79.18,70.39,66.63,53.58,65.83,40.41,71.47
N-F1,0.5,LLM-LogitNorm,55.72,30.08,19.46,63.07,72.40,57.62,82.14,71.28,63.65,37.53,65.11,48.53,55.55
N-F1,0.5,LLM-Entropy,52.18,48.13,43.47,57.66,55.22,52.88,60.51,64.64,65.85,57.62,59.99,39.38,54.79
N-F1,0.5,LLM-KLMatching,36.09,40.37,34.44,31.68,45.42,33.33,47.61,46.93,12.80,14.96,35.35,16.78,32.98
N-F1,0.5,LLM-MaxLogit,88.91,72.95,67.21,65.88,73.87,85.44,81.54,71.44,66.74,53.90,65.62,53.56,70.59
N-F1,0.75,DOC,48.08,48.12,34.10,29.62,34.79,61.14,40.43,42.60,42.27,40.74,23.47,31.21,39.71
N-F1,0.75,DeepUNK,53.29,44.76,34.92,21.72,36.25,45.42,37.15,8.28,12.25,1.42,11.85,19.49,27.23
N-F1,0.75,ADB,57.34,69.60,33.76,22.20,49.22,71.32,62.86,55.49,38.73,26.80,59.96,40.97,49.02
N-F1,0.75,SCL,95.89,43.06,30.27,35.52,28.85,55.99,37.20,30.93,3.54,27.31,28.86,23.56,36.75
N-F1,0.75,AB,45.86,34.17,34.56,0.00,51.08,53.12,58.06,60.10,43.60,44.85,36.59,30.46,41.04
N-F1,0.75,KNNCon,87.78,54.71,30.78,52.48,51.64,67.16,71.44,53.67,69.90,56.74,55.24,18.21,55.81
N-F1,0.75,DyEn,94.81,50.18,20.38,47.97,60.39,56.02,75.52,24.08,55.61,65.44,60.76,12.59,51.98
