Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-F1,0.25,DOC,74.47,43.80,38.71,29.59,60.96,58.47,77.20,65.11,0.00,56.39,38.09,9.41,46.02
K-F1,0.25,DeepUNK,82.13,16.60,43.12,24.10,63.86,55.91,70.89,64.56,1.41,51.86,30.01,9.07,42.79
K-F1,0.25,ADB,69.34,73.67,47.47,45.74,67.06,76.68,80.15,71.86,60.74,50.48,74.20,19.41,61.40
K-F1,0.25,SCL,68.20,20.17,17.71,28.90,20.43,40.75,39.42,29.90,2.35,38.61,22.47,9.00,28.16
K-F1,0.25,AB,53.40,25.90,42.02,26.00,58.20,59.32,70.82,67.40,40.12,58.26,45.38,8.38,46.27
K-F1,0.25,KNNCon,85.52,54.62,42.36,38.75,62.27,60.40,76.40,72.35,60.35,60.02,56.78,16.37,57.18
K-F1,0.25,DyEn,92.41,54.62,39.20,42.45,64.46,55.67,76.54,68.79,62.67,64.35,63.42,23.21,59.38
K-F1,0.25,LLM-MaxSoftmax,53.72,48.62,40.49,46.97,49.36,47.32,56.74,60.88,46.57,47.34,50.15,12.47,46.72
K-F1,0.25,LLM-OpenMax,79.85,58.68,40.31,33.57,56.44,57.02,70.50,61.48,37.19,42.25,18.17,11.47,47.24
K-F1,0.25,LLM-TempScale,53.72,48.62,40.53,46.39,49.07,47.78,56.74,60.88,45.57,46.86,50.14,12.60,46.58
K-F1,0.25,LLM-EnergyBased,88.07,74.88,49.66,39.71,69.68,74.20,85.36,72.83,49.89,55.28,52.78,5.63,59.83
K-F1,0.25,LLM-LogitNorm,53.46,47.70,41.28,46.52,65.27,50.06,82.68,69.16,45.97,46.57,59.31,11.10,51.59
K-F1,0.25,LLM-Entropy,55.50,49.86,43.22,48.51,48.65,48.83,55.64,61.45,48.22,50.82,49.84,12.41,47.75
K-F1,0.25,LLM-KLMatching,50.79,46.76,40.06,42.26,46.24,44.52,53.30,59.09,43.59,46.14,46.30,13.51,44.38
K-F1,0.25,LLM-MaxLogit,87.58,76.17,50.37,40.68,71.77,76.55,86.28,74.48,52.93,57.46,56.47,7.32,61.50
K-F1,0.5,DOC,71.82,48.20,39.74,41.15,64.91,72.75,79.48,69.43,0.00,62.97,16.32,8.43,47.93
K-F1,0.5,DeepUNK,86.98,38.56,44.72,24.50,58.77,61.07,67.23,65.28,1.22,51.31,22.24,7.56,44.12
