Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-F1,0.5,ADB,86.02,84.80,56.99,62.24,77.57,85.26,86.42,77.66,81.33,72.21,84.26,19.43,72.85
K-F1,0.5,SCL,79.46,26.56,15.72,35.58,34.75,50.43,74.35,38.73,1.71,55.16,36.39,9.82,38.22
K-F1,0.5,AB,59.80,29.00,46.80,26.72,64.22,65.12,74.80,68.94,47.20,60.56,47.70,15.88,50.56
K-F1,0.5,KNNCon,92.69,75.17,57.59,55.10,79.40,81.16,86.60,81.44,81.65,77.14,64.31,20.38,71.05
K-F1,0.5,DyEn,95.30,75.17,56.18,56.19,77.64,74.84,86.63,78.14,77.85,77.27,74.40,19.34,70.34
K-F1,0.5,LLM-MaxSoftmax,79.12,72.10,61.22,62.47,71.07,71.56,78.57,76.17,69.99,67.18,74.17,14.52,66.51
K-F1,0.5,LLM-OpenMax,92.34,81.48,58.97,37.10,55.02,85.18,73.90,62.76,43.16,52.12,28.87,13.36,57.02
K-F1,0.5,LLM-TempScale,79.12,72.22,61.04,62.19,70.98,71.56,78.73,76.04,69.65,66.91,74.17,14.92,66.46
K-F1,0.5,LLM-EnergyBased,94.70,76.88,45.83,39.89,74.82,84.96,86.67,73.42,46.61,63.27,62.64,6.73,63.03
K-F1,0.5,LLM-LogitNorm,83.76,72.80,58.38,63.58,80.99,76.73,91.61,79.73,72.64,67.63,77.13,10.50,69.62
K-F1,0.5,LLM-Entropy,79.93,72.73,62.05,62.45,70.10,71.50,77.29,76.54,70.05,67.98,73.25,14.93,66.57
K-F1,0.5,LLM-KLMatching,76.49,69.91,58.05,59.88,68.99,70.56,75.25,74.55,67.88,65.91,71.19,18.87,64.79
K-F1,0.5,LLM-MaxLogit,95.40,79.10,49.51,47.45,77.51,86.21,89.63,77.10,54.15,66.35,71.67,9.23,66.94
K-F1,0.75,DOC,77.65,43.92,36.91,41.66,66.98,78.98,80.49,71.88,0.00,62.12,0.00,8.03,47.39
K-F1,0.75,DeepUNK,92.53,38.12,46.17,21.07,48.39,64.67,63.01,60.84,0.17,50.93,19.44,5.11,42.54
K-F1,0.75,ADB,94.41,87.63,65.47,66.35,82.81,86.33,90.40,82.14,84.86,77.09,88.22,19.70,77.12
K-F1,0.75,SCL,72.52,28.76,26.02,40.09,56.76,69.12,80.32,47.91,1.31,65.67,49.66,10.44,45.72
K-F1,0.75,AB,63.74,29.72,51.04,27.36,67.82,68.68,77.80,71.06,50.04,60.88,49.16,16.00,52.78
K-F1,0.75,KNNCon,97.45,85.00,66.16,69.33,86.99,86.65,92.79,86.30,87.65,84.95,73.32,20.89,78.12
K-F1,0.75,DyEn,95.37,84.93,64.57,64.01,86.21,84.69,92.05,84.18,84.26,84.59,80.95,17.98,76.98
K-F1,0.75,LLM-MaxSoftmax,92.40,82.28,70.09,70.45,84.07,85.68,90.17,84.59,80.91,77.16,84.66,17.05,76.63
K-F1,0.75,LLM-OpenMax,93.57,85.37,68.85,38.94,60.49,89.22,77.66,67.69,31.28,54.42,35.42,13.25,59.68
K-F1,0.75,LLM-TempScale,92.40,82.37,70.17,70.84,83.94,85.90,90.34,84.50,80.84,76.93,84.80,17.42,76.70
K-F1,0.75,LLM-EnergyBased,90.25,81.04,33.87,40.28,74.35,82.53,82.62,73.25,42.66,47.43,67.14,7.39,60.23
K-F1,0.75,LLM-LogitNorm,96.48,84.56,67.75,62.48,81.37,88.99,91.98,81.91,79.34,72.07,75.58,10.41,74.41
K-F1,0.75,LLM-Entropy,92.70,82.46,69.11,70.88,83.27,85.70,89.64,84.36,81.41,77.64,84.72,17.62,76.63
K-F1,0.75,LLM-KLMatching,91.71,81.49,69.37,70.52,82.96,83.59,89.22,83.86,79.75,76.48,83.14,20.31,76.03
K-F1,0.75,LLM-MaxLogit,92.73,83.03,44.15,44.64,77.96,85.02,87.90,77.20,49.36,53.32,74.93,9.92,65.01
