Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-F1,0.5,LLM-Energy,80.84,44.30,31.41,11.16,41.02,74.87,62.65,25.88,10.16,5.59,3.52,3.54,32.91
K-F1,0.5,LLM-LogitNorm,79.64,51.65,42.04,19.57,54.98,73.09,73.70,43.03,21.73,10.56,6.54,4.64,40.10
K-F1,0.5,LLM-Entropy,79.55,55.18,44.74,20.64,57.51,72.61,74.67,52.58,23.80,6.98,10.49,6.83,42.13
K-F1,0.5,LLM-KLMatching,76.05,53.82,43.60,21.11,56.12,68.69,71.89,51.28,23.40,12.18,10.46,8.41,41.42
K-F1,0.5,LLM-MaxLogit,85.08,47.26,33.33,13.07,48.95,78.67,70.35,32.30,13.25,5.95,5.18,4.24,36.47
K-F1,0.75,DOC,31.92,27.21,5.70,23.15,0.05,72.87,0.00,0.00,0.00,0.00,0.00,0.02,13.41
K-F1,0.75,DeepUNK,52.06,7.10,14.14,18.27,49.98,32.75,63.62,60.03,1.28,62.72,22.22,5.32,32.46
K-F1,0.75,ADB,88.49,84.66,62.84,24.86,63.66,84.19,81.02,65.87,51.55,48.75,65.95,13.89,61.31
K-F1,0.75,SCL,98.39,14.65,16.55,15.18,23.70,63.65,55.21,41.50,1.12,27.29,9.08,6.00,31.03
K-F1,0.75,AB,57.20,24.99,48.33,15.46,62.71,66.60,71.79,64.71,28.40,43.16,22.42,11.64,43.12
K-F1,0.75,KNNCon,97.71,85.35,66.76,72.68,86.60,87.34,92.85,86.50,88.22,84.72,73.74,20.65,78.59
K-F1,0.75,DyEn,95.58,84.04,65.75,62.85,86.96,85.80,92.39,82.94,90.28,84.78,79.43,17.71,77.38
K-F1,0.75,LLM-MaxSoftmax,91.67,72.72,55.87,28.49,65.93,84.11,86.33,61.50,32.59,36.74,12.52,8.95,53.12
K-F1,0.75,LLM-OpenMax,51.59,49.35,36.73,8.13,11.23,73.33,30.90,9.65,4.43,8.86,1.18,2.34,23.98
K-F1,0.75,LLM-TempScale,91.37,72.72,55.87,28.34,65.94,84.10,86.31,61.46,32.98,36.83,12.72,9.20,53.15
K-F1,0.75,LLM-Energy,81.54,53.74,29.44,13.55,34.68,76.84,68.00,32.54,9.10,17.46,3.87,3.34,35.34
K-F1,0.75,LLM-LogitNorm,93.36,72.59,54.45,21.13,49.56,86.76,78.47,46.16,26.44,30.22,6.07,6.89,47.68
K-F1,0.75,LLM-Entropy,92.04,73.44,56.28,29.14,65.92,83.92,85.83,62.79,31.94,36.37,12.97,9.15,53.32
K-F1,0.75,LLM-KLMatching,90.62,72.73,55.98,28.71,65.96,82.38,85.65,61.74,34.20,38.70,13.94,10.32,53.41
K-F1,0.75,LLM-MaxLogit,87.51,58.59,32.79,16.42,43.63,80.39,75.51,40.04,11.67,21.35,6.19,4.54,39.89
