Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-F1,0.25,DOC,27.49,34.16,17.18,30.75,0.06,57.45,0.00,0.00,0.36,0.00,0.00,1.23,14.06
K-F1,0.25,DeepUNK,33.54,14.28,26.59,26.95,37.49,25.44,46.57,48.02,3.45,35.92,28.10,5.92,27.69
K-F1,0.25,ADB,43.99,61.09,39.23,18.65,34.73,70.76,69.33,49.04,35.09,36.75,40.45,14.22,42.78
K-F1,0.25,SCL,96.57,15.05,22.49,8.58,18.75,33.15,23.17,26.83,1.79,20.11,9.71,4.27,23.37
K-F1,0.25,AB,52.25,23.71,42.56,27.43,57.24,55.20,67.50,60.87,25.92,41.22,25.47,4.96,40.36
K-F1,0.25,KNNCon,88.67,59.43,41.14,50.69,63.07,59.39,76.88,71.59,62.07,58.44,61.90,16.34,59.13
K-F1,0.25,DyEn,93.77,63.08,39.54,62.77,63.17,50.77,76.55,65.97,77.94,65.99,66.66,19.57,62.15
K-F1,0.25,LLM-MaxSoftmax,21.94,38.44,25.52,5.83,35.17,43.32,47.47,33.22,15.90,10.49,6.19,3.81,23.94
K-F1,0.25,LLM-OpenMax,20.16,33.97,24.10,4.19,7.24,52.62,13.67,7.37,11.17,13.62,0.53,3.88,16.04
K-F1,0.25,LLM-TempScale,21.65,38.32,25.25,5.64,35.00,42.28,47.09,32.29,14.85,9.18,6.01,4.24,23.48
K-F1,0.25,LLM-Energy,23.71,37.24,23.04,5.00,31.97,61.17,44.05,28.42,8.21,7.46,3.25,2.82,23.03
K-F1,0.25,LLM-LogitNorm,22.46,35.37,25.13,5.50,39.19,38.93,58.01,34.34,15.09,10.61,4.63,4.16,24.45
K-F1,0.25,LLM-Entropy,22.47,40.81,26.49,5.49,35.49,46.37,47.41,33.75,16.76,8.12,6.24,4.25,24.47
K-F1,0.25,LLM-KLMatching,21.73,37.74,24.84,6.40,32.86,40.10,43.07,31.85,17.25,12.54,6.27,5.37,23.34
K-F1,0.25,LLM-MaxLogit,24.44,38.56,23.42,5.20,37.16,63.51,50.56,31.81,10.30,7.88,4.40,2.84,25.01
K-F1,0.5,DOC,19.19,37.60,4.61,0.98,0.08,68.29,43.03,0.00,0.42,0.00,0.00,0.25,14.54
K-F1,0.5,DeepUNK,30.36,12.00,11.46,27.72,48.99,26.42,59.97,58.03,2.04,50.95,27.79,4.21,30.00
K-F1,0.5,ADB,70.45,81.23,56.07,23.66,57.86,82.56,72.86,59.14,47.55,41.33,58.15,15.91,55.56
K-F1,0.5,SCL,98.47,14.51,22.88,12.96,22.57,47.49,32.10,27.25,1.39,29.21,8.13,5.09,26.84
K-F1,0.5,AB,53.74,25.71,43.59,18.48,61.04,63.20,70.10,64.81,27.48,43.75,23.96,12.28,42.34
K-F1,0.5,KNNCon,92.65,77.87,58.07,54.95,77.67,80.34,86.93,81.54,80.99,79.12,66.14,21.02,71.44
K-F1,0.5,DyEn,93.76,75.91,55.16,51.40,77.63,74.38,85.94,77.92,81.57,76.21,72.12,17.59,69.97
K-F1,0.5,LLM-MaxSoftmax,78.65,54.14,43.72,21.59,57.66,71.72,75.29,51.24,24.11,8.53,10.36,6.75,41.98
K-F1,0.5,LLM-OpenMax,68.11,35.45,34.10,8.88,7.60,71.74,22.21,10.43,6.16,10.60,0.58,2.96,23.24
K-F1,0.5,LLM-TempScale,78.63,54.16,43.73,21.48,57.45,71.47,74.95,51.24,24.62,8.26,10.38,7.31,41.97
