Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
K-ACC,0.25,DAL,87.09,81.43,52.09,42.75,60.46,70.18,83.80,60.54,63.29,57.48,79.57,67.15
K-ACC,0.25,GeoID,98.82,84.40,62.98,59.19,75.50,76.79,88.86,74.47,59.75,60.04,81.48,74.75
K-ACC,0.25,SDC,73.88,81.72,54.25,57.80,53.92,74.42,75.20,64.94,69.60,40.46,73.44,65.42
K-ACC,0.25,DPN,94.11,90.39,61.05,66.57,72.18,86.64,84.29,69.59,75.82,70.82,82.85,77.66
K-ACC,0.25,TAN,95.13,91.67,67.87,78.70,71.54,82.29,89.17,69.39,69.16,70.45,81.91,78.84
K-ACC,0.25,LOOP,95.01,92.30,60.38,49.94,78.35,83.09,93.53,79.31,71.93,56.06,77.93,76.17
K-ACC,0.25,ALUP,98.10,90.22,71.52,60.70,77.15,85.89,91.84,79.81,76.55,74.84,82.42,80.82
K-ACC,0.5,DAL,93.52,85.31,50.87,52.27,65.31,81.18,85.67,69.09,52.32,70.02,79.51,71.37
K-ACC,0.5,GeoID,99.99,87.76,61.16,60.04,78.83,81.38,91.73,79.90,60.35,54.41,81.34,76.08
K-ACC,0.5,SDC,85.96,81.08,54.22,61.43,57.67,78.08,70.36,70.53,67.22,67.35,70.41,69.48
K-ACC,0.5,DPN,95.61,90.29,58.03,78.13,75.80,82.63,85.12,74.97,78.81,77.03,83.51,79.99
K-ACC,0.5,TAN,99.38,93.87,59.48,78.24,78.57,80.91,89.11,74.25,79.24,76.81,87.52,81.58
K-ACC,0.5,LOOP,96.57,93.59,64.53,56.34,80.29,87.25,93.88,80.90,66.27,51.31,80.39,77.39
K-ACC,0.5,ALUP,97.70,93.67,68.02,69.37,79.69,86.29,92.86,80.34,74.34,76.87,82.95,82.01
K-ACC,0.75,DAL,95.48,87.27,64.35,45.91,66.67,76.28,87.14,71.10,59.90,75.42,80.13,73.60
K-ACC,0.75,GeoID,97.00,85.43,62.85,56.54,79.83,81.32,92.38,80.76,67.50,52.20,83.31,76.28
K-ACC,0.75,SDC,91.67,85.86,63.34,67.11,72.25,83.41,80.09,77.83,76.30,74.79,78.06,77.34
K-ACC,0.75,DPN,99.96,88.79,62.95,76.24,76.85,81.64,90.06,75.56,84.58,76.90,84.65,81.65
K-ACC,0.75,TAN,99.94,84.93,63.51,78.22,80.08,82.81,90.40,76.75,81.59,79.01,87.47,82.25
K-ACC,0.75,LOOP,99.52,92.39,64.83,49.26,83.13,87.83,93.58,80.42,66.68,71.15,81.73,79.14
K-ACC,0.75,ALUP,98.28,91.27,69.37,65.94,82.41,87.53,94.04,82.96,75.81,79.45,84.05,82.83
