Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
K-ACC,0.25,DAL,87.96,81.19,52.44,50.61,65.93,74.21,86.28,69.55,60.41,67.73,79.36,70.52
K-ACC,0.25,GeoID,100.00,94.01,66.86,68.20,86.27,86.58,93.14,87.11,80.58,83.39,87.20,84.85
K-ACC,0.25,SDC,54.69,72.65,51.92,51.42,45.04,72.92,61.87,57.30,64.37,62.30,68.84,60.30
K-ACC,0.25,DPN,88.58,91.04,65.83,79.56,79.17,91.03,84.84,80.43,87.67,81.63,85.98,83.25
K-ACC,0.25,TAN,95.86,93.22,70.40,79.21,84.82,86.07,91.58,82.68,84.28,82.96,87.97,85.37
K-ACC,0.25,LOOP,92.59,96.62,72.75,67.75,87.78,89.65,96.53,88.80,79.20,84.30,86.84,85.71
K-ACC,0.25,ALUP,97.84,89.51,74.40,74.35,86.62,89.16,95.06,87.70,73.66,86.30,84.82,85.40
K-ACC,0.5,DAL,98.77,83.84,60.00,54.53,74.93,81.47,88.76,76.93,65.11,82.53,81.74,77.15
K-ACC,0.5,GeoID,100.00,93.62,68.39,73.03,88.55,89.79,94.54,86.44,77.75,85.17,89.30,86.05
K-ACC,0.5,SDC,81.32,79.41,52.84,68.64,61.98,80.35,65.80,72.33,72.11,75.11,69.67,70.87
K-ACC,0.5,DPN,95.34,90.44,59.18,84.76,83.88,89.52,93.22,83.32,86.70,87.12,88.82,85.66
K-ACC,0.5,TAN,97.40,95.23,65.86,87.84,86.16,87.58,94.95,84.76,91.45,84.66,90.40,87.84
K-ACC,0.5,LOOP,98.76,94.78,67.66,64.72,89.22,90.22,96.64,87.72,76.82,86.23,88.62,85.58
K-ACC,0.5,ALUP,97.49,94.48,72.28,76.59,90.13,91.02,95.91,89.48,83.15,89.20,88.17,87.99
K-ACC,0.75,DAL,97.10,86.95,61.38,48.21,76.99,80.51,92.01,77.89,71.61,84.66,83.53,78.26
K-ACC,0.75,GeoID,99.06,94.44,68.91,63.54,90.49,89.55,94.79,88.60,81.66,89.20,90.04,86.39
K-ACC,0.75,SDC,93.92,86.95,65.24,78.28,78.69,86.68,81.26,82.47,80.76,82.38,79.33,81.45
K-ACC,0.75,DPN,100.00,90.99,67.46,87.17,88.59,88.51,93.88,85.69,92.02,85.72,90.85,88.26
K-ACC,0.75,TAN,99.55,93.00,67.92,86.39,89.02,87.68,95.07,86.61,89.79,86.30,91.81,88.47
K-ACC,0.75,LOOP,95.99,94.45,69.04,61.31,91.23,89.61,96.69,88.04,80.91,88.31,87.86,85.77
K-ACC,0.75,ALUP,99.98,93.44,70.06,74.23,91.07,91.23,95.88,88.26,87.70,89.64,89.74,88.29
