Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ACC,0.25,DAL,74.67,50.22,25.98,32.06,52.50,54.71,75.54,53.13,50.27,54.73,77.39,54.65
ACC,0.25,GeoID,99.29,78.50,55.63,39.23,69.48,78.46,80.92,70.70,61.30,62.77,77.62,70.35
ACC,0.25,SDC,66.23,65.22,43.88,50.07,42.63,72.91,59.54,59.54,61.85,46.09,65.43,57.58
ACC,0.25,DPN,78.64,56.69,28.64,44.59,38.08,26.45,53.44,38.18,56.05,37.97,72.42,48.29
ACC,0.25,TAN,88.63,67.75,34.07,43.25,47.31,36.38,63.07,42.77,62.15,42.96,77.78,55.10
ACC,0.25,LOOP,89.07,75.44,56.91,40.79,71.27,80.54,86.96,75.23,64.55,65.46,78.28,71.32
ACC,0.25,ALUP,96.66,76.58,57.45,44.37,70.57,80.05,84.74,73.63,68.76,65.89,80.11,72.62
ACC,0.5,DAL,95.76,64.98,44.87,42.00,64.10,70.94,81.24,68.21,58.83,69.51,79.97,67.31
ACC,0.5,GeoID,100.00,81.68,63.64,51.18,77.09,82.35,88.05,79.67,66.29,76.09,82.33,77.12
ACC,0.5,SDC,85.06,81.31,56.75,65.18,61.24,82.43,66.86,73.00,75.94,70.82,71.31,71.81
ACC,0.5,DPN,90.11,67.26,41.38,58.69,55.58,50.87,69.03,55.62,69.80,53.04,80.07,62.86
ACC,0.5,TAN,96.07,78.03,47.21,58.86,61.39,59.93,74.37,58.89,71.47,57.16,82.13,67.77
ACC,0.5,LOOP,91.03,75.94,61.46,46.69,77.52,83.66,91.11,80.26,71.65,75.27,82.50,76.10
ACC,0.5,ALUP,97.11,81.64,62.21,55.71,77.82,85.58,88.80,80.46,75.58,75.57,83.32,78.53
ACC,0.75,DAL,96.52,76.96,56.67,43.14,71.04,75.20,87.64,74.13,67.57,77.57,82.51,73.54
ACC,0.75,GeoID,98.95,90.05,64.97,55.18,82.58,85.06,90.01,84.26,75.63,85.32,86.50,81.68
ACC,0.75,SDC,94.13,88.15,66.27,80.16,78.18,87.15,80.77,82.97,83.07,80.54,80.71,82.01
ACC,0.75,DPN,98.74,75.72,60.26,75.92,74.84,72.79,84.16,72.75,78.93,70.33,85.57,77.27
ACC,0.75,TAN,98.57,82.38,61.69,71.86,76.70,79.49,85.14,74.81,78.76,73.84,87.28,79.14
ACC,0.75,LOOP,95.14,88.35,64.71,55.59,84.38,86.91,93.15,84.38,74.95,82.24,85.21,81.36
ACC,0.75,ALUP,98.72,89.34,66.66,66.65,85.32,88.71,93.16,83.93,81.04,80.26,86.90,83.70
