Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ARI,0.25,DAL,65.78,28.97,9.78,21.78,42.86,40.18,65.67,43.78,42.08,38.45,75.80,43.19
ARI,0.25,GeoID,99.95,64.28,35.77,30.11,62.09,65.24,77.15,62.13,51.10,51.49,73.56,61.17
ARI,0.25,SDC,58.37,59.58,21.13,37.23,31.91,55.58,49.22,46.77,56.53,33.85,49.51,45.43
ARI,0.25,DPN,76.21,39.03,9.70,26.80,27.59,13.25,41.19,19.58,42.50,20.70,64.23,34.62
ARI,0.25,TAN,89.88,54.99,17.20,31.70,35.80,20.92,51.17,28.70,46.23,26.44,71.57,43.15
ARI,0.25,LOOP,86.41,58.44,34.56,26.46,62.10,71.96,82.48,66.44,52.06,55.23,74.11,60.93
ARI,0.25,ALUP,98.27,63.56,32.71,32.89,62.14,68.20,80.97,64.17,64.00,50.90,78.78,63.33
ARI,0.5,DAL,90.81,46.04,20.92,29.84,53.90,56.65,74.99,56.63,44.64,55.87,78.04,55.30
ARI,0.5,GeoID,100.00,73.53,38.28,44.84,67.77,73.88,86.14,70.50,55.23,62.96,78.89,68.37
ARI,0.5,SDC,84.70,74.14,35.55,58.56,56.30,71.50,60.96,64.90,69.52,51.73,60.20,62.55
ARI,0.5,DPN,90.57,56.41,24.86,46.58,44.35,37.42,64.50,42.45,63.74,41.37,72.69,53.18
ARI,0.5,TAN,98.26,62.06,26.87,38.72,53.15,45.84,67.49,46.33,60.00,44.81,79.38,56.63
ARI,0.5,LOOP,93.32,71.31,38.93,39.95,71.40,76.61,85.76,74.10,66.31,62.27,79.47,69.04
ARI,0.5,ALUP,99.70,69.47,36.13,48.42,71.66,72.88,86.79,71.98,68.69,62.29,81.26,69.93
ARI,0.75,DAL,90.72,64.86,38.10,39.31,62.10,59.88,82.22,63.90,53.05,69.63,79.74,63.96
ARI,0.75,GeoID,100.00,81.37,43.45,56.27,76.65,78.16,90.14,76.66,68.54,74.78,84.54,75.51
ARI,0.75,SDC,94.55,84.66,45.09,81.30,73.28,78.05,76.32,76.48,77.55,70.48,74.83,75.69
ARI,0.75,DPN,95.66,69.71,39.71,69.60,67.77,60.24,79.30,61.33,73.33,60.68,82.68,69.09
ARI,0.75,TAN,98.99,72.16,40.01,69.86,68.89,67.08,79.96,64.00,72.50,61.36,84.16,70.82
ARI,0.75,LOOP,97.42,77.28,42.50,54.53,78.88,79.44,90.95,78.55,75.23,72.06,82.46,75.39
ARI,0.75,ALUP,99.25,78.31,43.08,61.35,79.64,78.92,90.76,77.92,77.32,70.65,84.92,76.56
