Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ACC,0.25,DAL,69.62,48.59,25.80,30.60,49.83,53.68,71.70,49.91,46.42,47.22,76.20,51.78
ACC,0.25,GeoID,97.84,76.10,55.98,38.96,65.17,74.65,81.61,69.73,54.24,50.98,72.37,67.06
ACC,0.25,SDC,69.11,63.65,36.65,47.50,41.76,65.42,62.38,59.54,55.24,36.64,63.42,54.66
ACC,0.25,DPN,80.03,59.00,26.02,41.21,35.56,28.05,52.50,42.27,52.47,37.71,72.05,47.90
ACC,0.25,TAN,86.40,65.43,29.69,60.71,39.09,30.96,57.72,45.62,55.62,39.16,71.68,52.92
ACC,0.25,LOOP,88.53,73.22,56.68,37.24,67.33,77.48,85.58,71.92,64.64,44.47,72.52,67.24
ACC,0.25,ALUP,94.05,82.70,60.42,39.96,67.78,79.61,85.12,71.44,66.63,59.94,78.28,71.45
ACC,0.5,DAL,91.47,63.04,38.16,38.60,57.96,71.84,78.99,60.82,52.85,60.03,77.88,62.88
ACC,0.5,GeoID,99.52,79.14,57.60,46.24,73.02,79.00,86.89,76.22,58.83,52.64,77.67,71.52
ACC,0.5,SDC,88.72,80.77,55.12,59.28,57.74,76.79,70.52,69.11,69.28,61.30,70.36,69.00
ACC,0.5,DPN,88.60,61.66,38.23,50.27,54.23,48.16,69.92,52.26,64.14,49.45,76.49,59.40
ACC,0.5,TAN,98.56,76.28,45.42,68.89,57.58,53.95,71.75,54.56,68.14,54.06,81.96,66.47
ACC,0.5,LOOP,90.98,80.95,59.27,40.45,72.54,83.12,88.07,76.98,64.11,47.06,77.76,71.03
ACC,0.5,ALUP,97.68,86.52,62.13,51.18,73.05,81.85,87.83,75.45,69.47,70.51,81.10,76.07
ACC,0.75,DAL,93.35,76.47,55.61,41.75,62.99,72.04,83.35,68.38,56.88,69.76,79.26,69.08
ACC,0.75,GeoID,97.10,82.41,61.69,50.73,77.29,80.80,88.77,78.72,63.98,49.24,81.19,73.81
ACC,0.75,SDC,93.22,85.97,62.82,70.16,71.64,83.38,78.23,78.49,77.40,71.23,79.21,77.43
ACC,0.75,DPN,98.41,73.81,55.62,64.99,66.73,68.41,81.91,66.19,74.95,63.98,81.24,72.39
ACC,0.75,TAN,99.90,80.67,59.30,74.91,69.94,70.08,81.66,65.42,75.10,65.33,85.22,75.23
ACC,0.75,LOOP,95.67,84.95,62.51,45.10,78.97,85.16,91.14,77.91,64.71,68.78,79.95,75.90
ACC,0.75,ALUP,98.67,88.17,65.26,59.31,78.52,85.50,91.04,79.92,73.63,75.20,82.97,79.84
